Lat,Lon,comment
28.000,-111.000,Boundary points (including interior strata boundaries)
28.000,-120.000,for modified MOPS area (AreaCoreM.dat and AreaOuterM.dat)
5.00,-120.00,NA
5.000,-77.433,NA
5.00,-120.00,NA
19.000,-120.000,NA
13.000,-145.000,NA
9.000,-151.000,NA
8.000,-152.500,NA
7.000,-153.000,NA
4.500,-149.000,NA
3.250,-145.000,NA
1.500,-130.500,NA
.000,-136.000,NA
-1.000,-137.000,NA
-3.000,-135.000,NA
-4.000,-130.000,NA
-5.000,-115.000,NA
-14.000,-85.000,NA
-12.000,-81.000,NA
-12.000,-77.000,NA
