Lat,Lon,comment
20.3672,-105.6722,CABO CORRIENTES
18.0000,-112.0000,NA
32.0000,-126.0000,NA
40.0000,-131.0000,NA
42.0000,-131.0000,NA
42.0000,-124.1890,OREGON-CALIF BORDER
41.968,-124.182,PACIFIC COASTLINE TO CABO CORRIENTES
41.913,-124.184,NA
41.853,-124.195,NA
41.808,-124.228,NA
41.779,-124.213,NA
41.751,-124.158,NA
41.710,-124.122,NA
41.658,-124.111,NA
41.608,-124.087,NA
41.554,-124.069,NA
41.515,-124.064,NA
41.461,-124.046,NA
41.401,-124.045,NA
41.344,-124.061,NA
41.288,-124.077,NA
41.233,-124.096,NA
41.181,-124.117,NA
41.130,-124.138,NA
41.069,-124.134,NA
41.029,-124.096,NA
40.972,-124.106,NA
40.919,-124.127,NA
40.866,-124.148,NA
40.819,-124.178,NA
40.774,-124.208,NA
40.811,-124.167,NA
40.855,-124.133,NA
40.858,-124.065,NA
40.818,-124.096,NA
40.798,-124.161,NA
40.754,-124.192,NA
40.705,-124.197,NA
40.717,-124.245,NA
40.755,-124.223,NA
40.715,-124.261,NA
40.667,-124.287,NA
40.618,-124.309,NA
40.571,-124.336,NA
40.516,-124.354,NA
40.462,-124.371,NA
40.415,-124.354,NA
40.362,-124.335,NA
40.306,-124.326,NA
40.254,-124.321,NA
40.224,-124.270,NA
40.193,-124.221,NA
40.160,-124.176,NA
40.131,-124.123,NA
40.101,-124.073,NA
40.048,-124.055,NA
40.018,-124.002,NA
39.983,-123.959,NA
39.941,-123.926,NA
39.901,-123.888,NA
39.859,-123.854,NA
39.818,-123.819,NA
39.758,-123.812,NA
39.717,-123.776,NA
39.659,-123.764,NA
39.597,-123.759,NA
39.548,-123.738,NA
39.505,-123.771,NA
39.445,-123.784,NA
39.386,-123.796,NA
39.331,-123.781,NA
39.280,-123.770,NA
39.230,-123.748,NA
39.187,-123.719,NA
39.138,-123.695,NA
39.082,-123.681,NA
39.026,-123.667,NA
38.981,-123.696,NA
38.937,-123.705,NA
38.901,-123.664,NA
38.864,-123.623,NA
38.828,-123.583,NA
38.796,-123.536,NA
38.758,-123.497,NA
38.730,-123.444,NA
38.687,-123.413,NA
38.644,-123.380,NA
38.607,-123.341,NA
38.567,-123.304,NA
38.535,-123.257,NA
38.508,-123.203,NA
38.482,-123.148,NA
38.453,-123.099,NA
38.405,-123.072,NA
38.361,-123.042,NA
38.307,-123.034,NA
38.319,-123.012,NA
38.289,-122.962,NA
38.242,-122.937,NA
38.205,-122.899,NA
38.162,-122.865,NA
38.123,-122.827,NA
38.085,-122.808,NA
38.120,-122.849,NA
38.164,-122.881,NA
38.203,-122.918,NA
38.238,-122.959,NA
38.201,-122.939,NA
38.144,-122.927,NA
38.094,-122.950,NA
38.041,-122.969,NA
37.999,-122.990,NA
38.022,-122.949,NA
38.054,-122.928,NA
38.076,-122.903,NA
38.039,-122.862,NA
38.015,-122.806,NA
37.988,-122.770,NA
37.948,-122.733,NA
37.913,-122.692,NA
37.928,-122.660,NA
37.904,-122.621,NA
37.874,-122.573,NA
37.843,-122.525,NA
37.831,-122.462,NA
37.874,-122.466,NA
37.875,-122.443,NA
37.904,-122.439,NA
37.940,-122.481,NA
37.982,-122.464,NA
38.013,-122.452,NA
38.052,-122.477,NA
38.107,-122.479,NA
38.123,-122.422,NA
38.165,-122.387,NA
38.144,-122.337,NA
38.118,-122.280,NA
38.084,-122.237,NA
38.048,-122.252,NA
38.015,-122.297,NA
38.001,-122.348,NA
37.962,-122.387,NA
37.928,-122.362,NA
37.910,-122.305,NA
37.857,-122.286,NA
37.808,-122.300,NA
37.773,-122.263,NA
37.757,-122.193,NA
37.733,-122.211,NA
37.715,-122.175,NA
37.672,-122.144,NA
37.617,-122.129,NA
37.566,-122.108,NA
37.517,-122.085,NA
37.502,-122.033,NA
37.463,-122.013,NA
37.465,-122.082,NA
37.509,-122.112,NA
37.523,-122.169,NA
37.547,-122.202,NA
37.580,-122.246,NA
37.596,-122.298,NA
37.618,-122.359,NA
37.665,-122.359,NA
37.720,-122.362,NA
37.743,-122.359,NA
37.799,-122.367,NA
37.809,-122.419,NA
37.795,-122.482,NA
37.733,-122.489,NA
37.676,-122.476,NA
37.618,-122.475,NA
37.572,-122.497,NA
37.514,-122.486,NA
37.491,-122.430,NA
37.439,-122.411,NA
37.392,-122.386,NA
37.336,-122.372,NA
37.278,-122.388,NA
37.220,-122.388,NA
37.180,-122.354,NA
37.139,-122.319,NA
37.109,-122.271,NA
37.073,-122.230,NA
37.032,-122.196,NA
36.999,-122.153,NA
36.974,-122.097,NA
36.953,-122.034,NA
36.967,-121.972,NA
36.980,-121.923,NA
36.962,-121.863,NA
36.920,-121.831,NA
36.879,-121.796,NA
36.833,-121.771,NA
36.782,-121.769,NA
36.750,-121.743,NA
36.739,-121.769,NA
36.696,-121.795,NA
36.642,-121.813,NA
36.614,-121.861,NA
36.639,-121.909,NA
36.598,-121.943,NA
36.562,-121.908,NA
36.530,-121.922,NA
36.478,-121.905,NA
36.428,-121.883,NA
36.375,-121.878,NA
36.323,-121.869,NA
36.288,-121.829,NA
36.244,-121.801,NA
36.221,-121.743,NA
36.196,-121.688,NA
36.163,-121.644,NA
36.121,-121.612,NA
36.077,-121.582,NA
36.031,-121.556,NA
36.013,-121.492,NA
35.972,-121.457,NA
35.919,-121.441,NA
35.873,-121.415,NA
35.838,-121.374,NA
35.802,-121.333,NA
35.765,-121.295,NA
35.716,-121.278,NA
35.667,-121.257,NA
35.648,-121.193,NA
35.641,-121.139,NA
35.602,-121.102,NA
35.559,-121.071,NA
35.518,-121.040,NA
35.481,-121.001,NA
35.458,-120.943,NA
35.444,-120.878,NA
35.402,-120.844,NA
35.357,-120.818,NA
35.325,-120.839,NA
35.338,-120.846,NA
35.286,-120.867,NA
35.230,-120.857,NA
35.201,-120.808,NA
35.174,-120.757,NA
35.182,-120.710,NA
35.156,-120.658,NA
35.126,-120.611,NA
35.069,-120.603,NA
35.011,-120.616,NA
34.959,-120.640,NA
34.909,-120.649,NA
34.873,-120.609,NA
34.821,-120.605,NA
34.765,-120.623,NA
34.722,-120.595,NA
34.667,-120.605,NA
34.618,-120.628,NA
34.564,-120.613,NA
34.559,-120.551,NA
34.533,-120.499,NA
34.490,-120.470,NA
34.455,-120.439,NA
34.464,-120.370,NA
34.474,-120.300,NA
34.474,-120.221,NA
34.478,-120.145,NA
34.465,-120.079,NA
34.468,-120.003,NA
34.445,-119.949,NA
34.425,-119.888,NA
34.417,-119.828,NA
34.418,-119.766,NA
34.394,-119.709,NA
34.423,-119.662,NA
34.422,-119.585,NA
34.400,-119.525,NA
34.380,-119.464,NA
34.354,-119.411,NA
34.321,-119.368,NA
34.289,-119.323,NA
34.270,-119.269,NA
34.226,-119.257,NA
34.181,-119.229,NA
34.149,-119.188,NA
34.119,-119.139,NA
34.115,-119.128,NA
34.112,-119.081,NA
34.085,-119.029,NA
34.064,-118.968,NA
34.047,-118.902,NA
34.031,-118.836,NA
34.025,-118.791,NA
34.042,-118.732,NA
34.048,-118.662,NA
34.048,-118.585,NA
34.045,-118.525,NA
34.007,-118.489,NA
33.968,-118.454,NA
33.926,-118.424,NA
33.877,-118.402,NA
33.826,-118.386,NA
33.785,-118.420,NA
33.743,-118.391,NA
33.733,-118.336,NA
33.718,-118.278,NA
33.769,-118.266,NA
33.783,-118.212,NA
33.771,-118.164,NA
33.753,-118.100,NA
33.718,-118.059,NA
33.685,-118.017,NA
33.649,-117.977,NA
33.618,-117.931,NA
33.598,-117.869,NA
33.568,-117.822,NA
33.539,-117.774,NA
33.502,-117.738,NA
33.473,-117.687,NA
33.446,-117.637,NA
33.410,-117.597,NA
33.378,-117.552,NA
33.348,-117.504,NA
33.311,-117.468,NA
33.269,-117.437,NA
33.231,-117.401,NA
33.188,-117.374,NA
33.146,-117.344,NA
33.100,-117.318,NA
33.050,-117.300,NA
33.003,-117.282,NA
32.957,-117.265,NA
32.900,-117.253,NA
32.848,-117.262,NA
32.804,-117.271,NA
32.749,-117.259,NA
32.689,-117.268,NA
32.667,-117.239,NA
32.721,-117.226,NA
32.712,-117.179,NA
32.678,-117.139,NA
32.632,-117.114,NA
32.626,-117.155,NA
32.676,-117.175,NA
32.688,-117.214,NA
32.650,-117.177,NA
32.601,-117.154,NA
32.556,-117.129,NA
32.507,-117.121,NA
32.451,-117.119,*CALIFORNIA USA
32.44055,-117.10810,*Baja Calif. Mexico
32.37083,-117.07050,NA
32.30472,-117.02920,NA
32.26000,-116.96890,NA
32.21389,-116.90310,NA
32.13972,-116.87860,NA
32.06361,-116.87360,NA
31.99278,-116.84530,NA
31.96944,-116.76970,NA
31.90555,-116.72530,NA
31.86666,-116.66060,NA
31.82444,-116.59810,NA
31.74667,-116.61940,NA
31.72944,-116.69580,NA
31.67305,-116.64250,NA
31.59694,-116.64220,NA
31.51944,-116.63890,NA
31.46639,-116.58190,NA
31.43889,-116.51000,NA
31.37305,-116.46830,NA
31.31250,-116.42030,NA
31.25278,-116.37140,NA
31.19083,-116.32500,NA
31.11555,-116.30280,NA
31.03833,-116.31390,NA
30.96194,-116.30110,NA
30.93222,-116.23220,NA
30.87556,-116.17940,NA
30.83694,-116.11220,NA
30.78694,-116.05140,NA
30.71167,-116.03750,NA
30.63556,-116.03280,NA
30.55861,-116.03220,NA
30.48306,-116.04110,NA
30.41555,-116.00170,NA
30.47333,-115.95280,NA
30.39778,-115.96030,NA
30.39028,-115.88530,NA
30.33611,-115.83000,NA
30.26555,-115.80250,NA
30.18778,-115.79500,NA
30.10778,-115.78360,NA
30.03278,-115.78860,NA
29.95500,-115.78890,NA
29.91222,-115.72000,NA
29.84194,-115.69190,NA
29.76555,-115.68920,NA
29.71528,-115.62920,NA
29.68111,-115.55940,NA
29.62528,-115.50610,NA
29.59333,-115.43690,NA
29.55222,-115.37390,NA
29.52667,-115.30000,NA
29.48917,-115.23310,NA
29.42722,-115.18690,NA
29.42861,-115.18920,NA
29.42389,-115.16110,NA
29.41389,-115.08000,NA
29.39500,-115.00610,NA
29.36250,-114.93500,NA
29.30416,-114.88530,NA
29.25333,-114.82500,NA
29.21361,-114.75970,NA
29.14639,-114.72060,NA
29.11444,-114.64800,NA
29.04778,-114.60810,NA
28.98361,-114.56330,NA
28.93944,-114.49780,NA
28.89889,-114.43440,NA
28.83472,-114.39440,NA
28.78389,-114.33690,NA
28.72778,-114.28440,NA
28.68555,-114.21750,NA
28.64055,-114.15140,NA
28.57889,-114.10530,NA
28.51694,-114.06030,NA
28.44000,-114.08110,NA
28.37139,-114.11330,NA
28.30333,-114.15080,NA
28.22889,-114.13890,NA
28.15778,-114.11280,NA
28.08222,-114.13030,NA
28.02333,-114.17830,NA
27.97167,-114.23610,NA
27.92056,-114.29530,NA
27.84611,-114.27780,NA
27.79861,-114.21470,NA
27.73111,-114.17610,NA
27.74166,-114.10060,NA
27.76694,-114.02440,NA
27.69917,-113.98690,NA
27.71472,-114.06300,NA
27.70167,-114.13920,NA
27.71028,-114.21720,NA
27.73750,-114.28890,NA
27.79667,-114.33780,NA
27.84278,-114.39890,NA
27.79083,-114.45640,NA
27.76889,-114.53080,NA
27.76833,-114.60750,NA
27.78333,-114.68190,NA
27.81861,-114.75110,NA
27.81917,-114.82860,NA
27.84083,-114.90140,NA
27.82917,-114.97780,NA
27.86222,-115.04800,NA
27.78806,-115.03170,NA
27.71667,-114.99750,NA
27.68806,-114.92810,NA
27.67750,-114.85250,NA
27.62194,-114.79940,NA
27.55722,-114.75670,NA
27.51722,-114.69220,NA
27.49111,-114.61970,NA
27.44305,-114.55810,NA
27.39000,-114.50220,NA
27.31555,-114.48000,NA
27.23778,-114.47580,NA
27.18889,-114.41330,NA
27.16833,-114.33940,NA
27.16055,-114.26110,NA
27.15139,-114.18140,NA
27.11444,-114.11420,NA
27.05805,-114.06250,NA
26.99889,-114.01390,NA
27.00083,-113.93830,NA
26.98667,-113.86050,NA
26.93889,-113.79860,NA
26.88111,-113.74860,NA
26.81528,-113.70810,NA
26.77194,-113.64310,NA
26.74028,-113.57140,NA
26.78833,-113.51170,NA
26.84194,-113.45810,NA
26.80750,-113.39110,NA
26.78028,-113.32000,NA
26.75861,-113.24720,NA
26.83278,-113.22780,NA
26.89361,-113.18190,NA
26.96861,-113.15640,NA
26.89750,-113.12420,NA
26.83472,-113.16920,NA
26.78472,-113.22830,NA
26.70833,-113.22470,NA
26.68583,-113.14830,NA
26.63639,-113.08970,NA
26.59139,-113.02440,NA
26.54861,-112.95810,NA
26.51861,-112.88890,NA
26.46305,-112.83610,NA
26.40861,-112.77750,NA
26.36833,-112.71420,NA
26.33555,-112.64220,NA
26.31861,-112.56500,NA
26.27778,-112.49970,NA
26.28972,-112.42390,NA
26.23722,-112.36780,NA
26.16306,-112.34610,NA
26.09361,-112.30920,NA
26.05611,-112.28280,NA
26.00611,-112.22280,NA
25.93861,-112.18500,NA
25.86472,-112.15530,NA
25.79194,-112.12220,NA
25.71805,-112.10030,NA
25.63750,-112.10920,NA
25.56222,-112.08640,NA
25.63944,-112.09300,NA
25.71417,-112.07530,NA
25.63528,-112.07560,NA
25.55611,-112.07310,NA
25.47805,-112.06110,NA
25.40083,-112.06970,NA
25.32444,-112.06690,NA
25.24972,-112.07440,NA
25.18778,-112.11940,NA
25.11000,-112.12970,NA
25.03361,-112.13280,NA
24.95472,-112.13610,NA
25.02583,-112.10890,NA
24.95639,-112.07860,NA
24.89222,-112.11830,NA
24.81861,-112.10390,NA
24.74861,-112.07420,NA
24.81889,-112.04470,NA
24.76944,-111.98310,NA
24.84528,-111.98810,NA
24.78111,-111.94670,NA
24.72361,-111.89530,NA
24.66861,-111.84300,NA
24.59667,-111.81890,NA
24.52278,-111.79720,NA
24.55389,-111.72750,NA
24.54444,-111.65170,NA
24.47667,-111.61390,NA
24.42833,-111.55310,NA
24.37944,-111.49250,NA
24.31889,-111.44220,NA
24.28528,-111.37170,NA
24.24805,-111.30220,NA
24.21111,-111.23580,NA
24.18361,-111.16110,NA
24.13972,-111.09670,NA
24.10278,-111.02940,NA
24.05111,-110.97250,NA
23.99417,-110.92220,NA
23.94055,-110.86830,NA
23.90278,-110.80220,NA
23.85167,-110.74440,NA
23.79472,-110.69440,NA
23.73917,-110.64170,NA
23.69250,-110.57920,NA
23.66166,-110.50530,NA
23.63778,-110.43080,NA
23.60167,-110.36330,NA
23.55167,-110.30420,NA
23.47917,-110.27360,NA
23.40667,-110.24300,NA
23.35417,-110.18800,NA
23.28139,-110.15780,NA
23.20694,-110.12940,NA
23.13278,-110.11720,NA
23.05416,-110.10220,NA
22.98250,-110.07780,NA
22.91833,-110.03720,NA
22.87000,-109.97610,*Cabo San Lucas
22.88444,-109.90140,NA
22.90972,-109.82640,NA
22.95861,-109.76690,NA
22.99861,-109.70000,NA
23.06194,-109.65220,NA
23.09916,-109.58220,NA
23.12944,-109.51280,NA
23.19055,-109.46580,NA
23.26444,-109.43420,NA
23.34167,-109.42500,NA
23.42028,-109.41280,NA
23.49750,-109.43050,NA
23.56000,-109.47330,NA
23.60583,-109.53690,NA
23.62972,-109.61190,NA
23.65639,-109.68280,NA
23.72917,-109.70330,NA
23.80556,-109.70420,NA
23.85583,-109.76220,NA
23.90722,-109.81890,NA
23.98250,-109.81080,NA
24.04055,-109.86250,NA
24.03444,-109.93750,NA
24.10194,-109.97530,NA
24.17139,-110.01060,NA
24.20694,-110.07890,NA
24.25305,-110.14310,NA
24.31389,-110.18800,NA
24.35278,-110.25360,NA
24.29417,-110.30500,NA
24.22500,-110.27030,NA
24.15833,-110.31000,NA
24.12250,-110.37640,NA
24.19583,-110.35810,NA
24.20889,-110.43500,NA
24.22416,-110.51080,NA
24.27333,-110.56890,NA
24.31111,-110.63670,NA
24.37194,-110.68330,NA
24.44750,-110.69470,NA
24.52083,-110.71640,NA
24.59889,-110.73280,NA
24.67944,-110.72470,NA
24.74694,-110.68330,NA
24.82250,-110.66890,NA
24.89917,-110.68690,NA
24.96361,-110.72750,NA
25.03417,-110.76110,NA
25.06805,-110.83190,NA
25.12694,-110.87970,NA
25.19917,-110.90970,NA
25.26500,-110.94750,NA
25.34028,-110.97170,NA
25.40500,-111.01280,NA
25.48139,-111.01640,NA
25.54611,-111.05580,NA
25.55305,-111.13110,NA
25.60722,-111.18470,NA
25.67889,-111.21720,NA
25.74306,-111.26530,NA
25.81778,-111.29390,NA
25.88500,-111.33190,NA
25.95833,-111.36190,NA
26.03305,-111.34220,NA
26.10778,-111.32110,NA
26.17278,-111.36170,NA
26.24250,-111.39670,NA
26.32111,-111.39140,NA
26.38528,-111.43920,NA
26.45611,-111.47560,NA
26.52861,-111.49670,NA
26.57611,-111.55920,NA
26.65222,-111.56030,NA
26.72722,-111.56440,NA
26.75528,-111.63530,NA
26.80778,-111.69140,NA
26.85639,-111.75330,NA
26.89639,-111.81810,NA
26.83083,-111.85560,NA
26.75833,-111.83170,NA
26.69472,-111.78920,NA
26.65250,-111.72000,NA
26.58028,-111.69940,NA
26.57944,-111.77470,NA
26.64194,-111.81890,NA
26.69555,-111.87360,NA
26.77278,-111.89470,NA
26.85167,-111.90750,NA
26.90278,-111.96530,NA
26.96778,-112.00720,NA
27.04528,-112.01080,NA
27.10194,-111.95530,NA
27.10472,-111.98690,NA
27.12417,-112.05970,NA
27.15750,-112.13060,NA
27.18722,-112.20220,NA
27.26222,-112.22310,NA
27.32222,-112.26830,NA
27.38944,-112.30670,NA
27.46861,-112.31110,NA
27.54000,-112.34440,NA
27.56472,-112.41890,NA
27.60917,-112.48550,NA
27.63055,-112.55810,NA
27.69000,-112.60530,NA
27.72556,-112.67640,NA
27.79667,-112.70220,NA
27.86250,-112.74720,NA
27.93806,-112.73420,NA
28.01361,-112.75780,NA
28.08667,-112.78440,NA
28.16306,-112.79250,NA
28.23333,-112.82720,NA
28.29278,-112.87550,NA
28.37278,-112.87250,NA
28.44694,-112.90420,NA
28.43611,-112.98250,NA
28.45555,-113.06080,NA
28.50500,-113.12170,NA
28.58444,-113.13060,NA
28.66083,-113.15830,NA
28.73417,-113.17970,NA
28.81028,-113.19110,NA
28.81417,-113.26610,NA
