Lat,Lon,comment
18.000,-102.567,Area file for middle stratum for combined 1980-83 surveys
17.967,-102.400,coastline from 18N to 2S
17.917,-102.233,NA
17.883,-102.083,NA
17.883,-101.917,NA
17.883,-101.883,NA
17.883,-101.800,NA
17.800,-101.683,NA
17.767,-101.517,NA
17.683,-101.483,NA
17.600,-101.433,NA
17.567,-101.433,NA
17.567,-101.367,NA
17.483,-101.317,NA
17.433,-101.200,NA
17.367,-101.083,NA
17.283,-100.917,NA
17.200,-100.917,NA
17.200,-100.883,NA
17.167,-100.800,NA
17.167,-100.717,NA
17.167,-100.683,NA
17.083,-100.600,NA
17.033,-100.517,NA
17.033,-100.433,NA
17.000,-100.317,NA
16.967,-100.167,NA
16.917,-100.000,*ACAPULCO
16.883,-99.833,NA
16.800,-99.717,NA
16.767,-99.633,NA
16.683,-99.517,NA
16.683,-99.400,NA
16.600,-99.233,NA
16.567,-99.083,NA
16.517,-98.967,NA
16.483,-98.800,NA
16.483,-98.717,NA
16.483,-98.633,NA
16.483,-98.600,NA
16.400,-98.517,NA
16.317,-98.433,NA
16.233,-98.317,NA
16.167,-98.200,NA
16.083,-98.033,NA
16.033,-97.967,NA
16.033,-97.917,NA
16.033,-97.833,NA
15.967,-97.767,NA
15.917,-97.633,NA
15.917,-97.567,NA
15.883,-97.433,NA
15.883,-97.367,NA
15.833,-97.233,NA
15.833,-97.033,NA
15.800,-96.917,NA
15.767,-96.833,NA
15.717,-96.767,NA
15.683,-96.633,NA
15.683,-96.567,NA
15.600,-96.433,NA
15.600,-96.317,NA
15.600,-96.167,NA
15.600,-96.033,NA
15.633,-95.917,NA
15.717,-95.833,NA
15.767,-95.717,NA
15.800,-95.633,NA
15.833,-95.483,NA
15.917,-95.367,NA
16.000,-95.233,NA
16.083,-95.117,NA
16.167,-94.967,NA
16.117,-95.000,NA
16.167,-94.967,NA
16.167,-94.883,NA
16.200,-94.717,NA
16.167,-94.567,NA
16.083,-94.367,NA
16.033,-94.167,NA
15.967,-93.967,NA
15.883,-93.717,NA
15.767,-93.483,NA
15.600,-93.317,NA
15.433,-93.200,NA
15.283,-93.033,NA
15.117,-92.833,NA
14.967,-92.683,NA
14.800,-92.517,NA
14.633,-92.283,NA
14.567,-92.200,NA
14.517,-92.200,*END MEXICO
14.567,-92.200,*BEGIN GUATEMALA (PACIFIC COAST)
14.483,-92.167,NA
14.483,-92.117,NA
14.433,-92.083,NA
14.400,-92.033,NA
14.400,-92.000,NA
14.317,-91.917,NA
14.283,-91.883,NA
14.233,-91.800,NA
14.200,-91.800,NA
14.117,-91.683,NA
14.083,-91.633,NA
14.083,-91.600,NA
14.033,-91.567,NA
14.033,-91.517,NA
13.967,-91.400,NA
13.917,-91.367,NA
13.917,-91.317,NA
13.917,-91.283,NA
13.883,-91.200,NA
13.883,-91.033,NA
13.883,-91.000,NA
13.883,-90.967,NA
13.883,-90.917,NA
13.883,-90.800,NA
13.883,-90.717,NA
13.883,-90.633,NA
13.833,-90.600,NA
13.833,-90.483,NA
13.833,-90.433,NA
13.800,-90.400,NA
13.800,-90.367,NA
13.800,-90.233,NA
13.800,-90.200,NA
13.800,-90.167,NA
13.767,-90.083,NA
13.717,-90.083,NA
13.717,-90.033,NA
13.683,-90.033,*END GUATEMALA BEGIN EL SALVADOR
13.683,-90.000,NA
13.600,-89.917,NA
13.600,-89.883,NA
13.567,-89.833,NA
13.567,-89.800,NA
13.517,-89.800,NA
13.483,-89.683,NA
13.483,-89.600,NA
13.483,-89.517,NA
13.483,-89.483,NA
13.433,-89.400,NA
13.433,-89.317,NA
13.400,-89.233,NA
13.400,-89.200,NA
13.367,-89.117,NA
13.317,-89.083,NA
13.317,-89.033,NA
13.283,-88.967,NA
13.233,-88.800,NA
13.200,-88.767,NA
13.200,-88.717,NA
13.200,-88.683,NA
13.200,-88.633,NA
13.167,-88.567,NA
13.167,-88.483,NA
13.167,-88.433,NA
13.167,-88.400,NA
13.167,-88.317,NA
13.167,-88.233,NA
13.167,-88.200,NA
13.167,-88.167,NA
13.200,-88.117,NA
13.233,-88.000,NA
13.233,-87.967,NA
13.283,-87.833,NA
13.317,-87.800,NA
13.317,-87.767,NA
13.367,-87.767,NA
13.400,-87.767,*END EL SALVADOR *BEGIN HONDURAS (PACIFIC COAST)
13.400,-87.717,NA
13.400,-87.683,NA
13.400,-87.633,NA
13.367,-87.600,NA
13.367,-87.567,NA
13.317,-87.517,NA
13.233,-87.483,NA
13.200,-87.483,NA
13.167,-87.483,NA
13.117,-87.433,NA
13.117,-87.400,NA
13.083,-87.400,NA
13.083,-87.367,NA
13.033,-87.317,NA
13.000,-87.317,*END HONDURAS BEGIN NICARAGUA (PACIFIC COAST)
13.000,-87.367,NA
13.000,-87.400,NA
13.000,-87.433,NA
13.000,-87.483,NA
13.000,-87.517,NA
12.967,-87.567,NA
12.917,-87.567,NA
12.883,-87.567,NA
12.833,-87.517,NA
12.800,-87.483,NA
12.683,-87.400,NA
12.683,-87.367,NA
12.633,-87.317,NA
12.600,-87.283,NA
12.567,-87.283,NA
12.483,-87.200,NA
12.433,-87.167,NA
12.400,-87.083,NA
12.367,-87.033,NA
12.317,-87.000,NA
12.283,-87.000,NA
12.283,-86.967,NA
12.233,-86.917,NA
12.200,-86.883,NA
12.117,-86.800,NA
12.083,-86.767,NA
12.033,-86.767,NA
12.000,-86.717,NA
12.000,-86.683,NA
11.833,-86.600,NA
11.800,-86.567,NA
11.767,-86.517,NA
11.767,-86.483,NA
11.717,-86.483,NA
11.633,-86.400,NA
11.600,-86.367,NA
11.600,-86.317,NA
11.567,-86.283,NA
11.517,-86.283,NA
11.483,-86.167,NA
11.433,-86.117,NA
11.400,-86.083,NA
11.400,-86.033,NA
11.367,-86.000,NA
11.283,-85.917,NA
11.233,-85.883,NA
11.233,-85.833,NA
11.200,-85.833,NA
11.117,-85.800,NA
11.083,-85.800,NA
11.033,-85.767,*END NICARAGUA *BEGIN COSTA RICA (PACIFIC COAST)
11.033,-85.800,NA
11.000,-85.800,NA
10.967,-85.800,NA
10.917,-85.833,NA
10.883,-85.833,NA
10.833,-85.800,NA
10.800,-85.800,NA
10.800,-85.767,NA
10.717,-85.767,NA
10.683,-85.767,NA
10.567,-85.767,NA
10.517,-85.800,NA
10.483,-85.800,NA
10.433,-85.833,NA
10.400,-85.833,NA
10.283,-85.833,NA
10.200,-85.800,NA
10.167,-85.800,NA
10.083,-85.767,NA
10.083,-85.717,NA
9.967,-85.633,NA
9.917,-85.600,NA
9.883,-85.600,NA
9.883,-85.567,NA
9.883,-85.517,NA
9.883,-85.433,NA
9.833,-85.400,NA
9.800,-85.367,NA
9.800,-85.283,NA
9.767,-85.233,NA
9.683,-85.117,NA
9.633,-85.083,NA
9.600,-85.083,NA
9.600,-85.033,NA
9.683,-85.000,NA
9.800,-85.000,NA
9.800,-84.967,NA
9.833,-84.967,NA
9.883,-84.967,NA
9.917,-85.000,NA
9.917,-85.033,NA
9.917,-85.083,NA
9.967,-85.083,NA
9.967,-85.117,NA
10.000,-85.117,NA
10.000,-85.167,NA
10.033,-85.167,NA
10.033,-85.117,NA
10.083,-85.117,NA
10.083,-85.033,NA
10.083,-85.000,NA
10.083,-84.967,NA
10.083,-84.917,NA
9.967,-84.800,NA
9.917,-84.800,NA
9.883,-84.767,NA
9.833,-84.717,NA
9.767,-84.683,NA
9.717,-84.683,NA
9.683,-84.633,NA
9.633,-84.600,NA
9.600,-84.567,NA
9.483,-84.483,NA
9.483,-84.433,NA
9.483,-84.367,NA
9.433,-84.317,NA
9.400,-84.283,NA
9.317,-84.083,NA
9.317,-84.033,NA
9.283,-84.000,NA
9.283,-83.917,NA
9.200,-83.800,NA
9.167,-83.800,NA
9.083,-83.717,NA
9.083,-83.683,NA
9.000,-83.683,NA
8.917,-83.683,NA
8.883,-83.683,NA
8.800,-83.683,NA
8.717,-83.683,NA
8.600,-83.633,NA
8.567,-83.633,NA
8.517,-83.600,NA
8.483,-83.567,NA
8.483,-83.483,NA
8.400,-83.317,NA
8.433,-83.283,NA
8.483,-83.283,NA
8.600,-83.367,NA
8.633,-83.367,NA
8.633,-83.400,NA
8.683,-83.367,NA
8.683,-83.317,NA
8.683,-83.283,NA
8.633,-83.233,NA
8.633,-83.200,NA
8.600,-83.200,NA
8.517,-83.117,NA
8.483,-83.083,NA
8.433,-83.083,NA
8.400,-83.083,NA
8.367,-83.083,NA
8.317,-83.033,NA
8.317,-83.000,*END COSTA RICA *BEGIN PANAMA (PACIFIC COAST)
8.283,-83.000,NA
8.283,-82.967,NA
8.167,-82.917,NA
8.117,-82.883,NA
8.083,-82.883,NA
8.117,-82.883,NA
8.233,-82.800,NA
8.283,-82.800,NA
8.283,-82.767,NA
8.283,-82.717,NA
8.283,-82.633,NA
8.283,-82.600,NA
8.283,-82.567,NA
8.283,-82.517,NA
8.283,-82.483,NA
8.283,-82.400,NA
8.283,-82.367,NA
8.233,-82.317,NA
8.233,-82.283,NA
8.233,-82.233,NA
8.200,-82.117,NA
8.200,-82.033,NA
8.167,-81.967,NA
8.117,-81.883,NA
8.117,-81.800,NA
8.117,-81.767,NA
8.083,-81.717,NA
8.000,-81.633,NA
8.000,-81.600,NA
7.967,-81.600,NA
7.917,-81.600,NA
7.883,-81.567,NA
7.717,-81.483,NA
7.683,-81.433,NA
7.683,-81.400,NA
7.633,-81.400,NA
7.600,-81.367,NA
7.567,-81.317,NA
7.567,-81.283,NA
7.567,-81.233,NA
7.567,-81.200,NA
7.633,-81.167,NA
7.683,-81.117,NA
7.683,-81.083,NA
7.717,-81.033,NA
7.717,-81.000,NA
7.633,-80.967,NA
7.567,-80.967,NA
7.483,-80.967,NA
7.400,-80.917,NA
7.367,-80.917,NA
7.200,-80.883,NA
7.167,-80.833,NA
7.167,-80.800,NA
7.167,-80.767,NA
7.167,-80.600,NA
7.167,-80.567,NA
7.167,-80.517,NA
7.200,-80.483,NA
7.283,-80.400,NA
7.317,-80.283,NA
7.367,-80.200,NA
7.400,-80.167,NA
7.433,-80.117,NA
7.483,-80.083,NA
7.517,-80.117,NA
7.600,-80.117,NA
7.633,-80.200,NA
7.683,-80.200,NA
7.683,-80.283,NA
7.767,-80.283,NA
7.800,-80.317,NA
7.883,-80.483,NA
7.967,-80.483,NA
8.000,-80.483,NA
8.117,-80.433,NA
8.167,-80.400,NA
8.200,-80.400,NA
8.200,-80.317,NA
8.233,-80.283,NA
8.283,-80.167,NA
8.283,-80.083,NA
8.367,-80.000,NA
8.367,-79.967,NA
8.400,-79.917,NA
8.483,-79.833,NA
8.517,-79.800,NA
8.567,-79.767,NA
8.600,-79.767,NA
8.683,-79.683,NA
