Lat,Lon,comment
32.627,-117.825,This file contains rough 1000m contour for 1998 survey
30.005,-116.155,1000m from San Diego to 5N
29.48,-115.795,NA
28.97,-115.495,NA
28.655,-115.72,NA
28.31,-115.765,NA
27.98,-115.675,NA
27.35,-114.985,NA
26.36,-113.92,NA
25.52,-113.485,NA
24.65,-112.915,NA
23.765,-112.12,NA
23.285,-111.49,NA
23.09,-110.8,NA
22.835,-110.14,NA
22.835,-109.585,NA
21.89,-106.825,NA
21.38,-106.525,NA
21.185,-106.165,NA
20.675,-105.97,NA
20.195,-105.835,NA
19.82,-105.73,NA
19.13,-105.085,NA
18.62,-104.17,NA
18.095,-103.33,NA
17.69,-102.49,NA
17.195,-101.245,NA
16.595,-99.985,NA
16.01,-98.485,NA
15.65,-97.045,NA
15.575,-95.98,NA
15.605,-95.29,NA
15.275,-94.96,NA
14.315,-93.265,NA
13.85,-92.38,NA
13.19,-91.105,NA
12.38,-88.675,NA
11.465,-87.31,NA
9.845,-85.885,NA
9.245,-85.225,NA
8.27,-83.8,NA
7.865,-82.795,NA
6.965,-81.625,NA
7.205,-79.795,NA
7.565,-78.94,NA
6.965,-77.77,NA
5.9,-77.515,NA
5.135,-77.62,NA
5.000,-77.650,1000m from 5N to equator
3.71,-77.77,NA
2.645,-78.94,NA
1.835,-79.75,NA
0.000,-80.800,1000m from equator to Peru
-0.4,-80.965,NA
-1.465,-81.265,NA
-2.32,-81.22,NA
-3.085,-81.175,NA
-3.835,-81.43,NA
-5.155,-81.475,NA
-6.025,-81.325,NA
-7.03,-80.965,NA
-8.605,-80.365,NA
-9.52,-79.795,NA
-11.245,-78.49,NA
-12.417,-77.417,offshore near Callao
