Lat,Lon,comment
25.0000000,-112.8647460,Polygon of outer stratum for STAR surveys 1998-2000
25.0000000,-120.0000000,(excludes coastal strip)
5.0000000,-120.0000000,NA
5.0000000,-77.6342759,NA
4.9777470,-77.6343709,NA
4.9445343,-77.6320880,NA
4.9113197,-77.6270438,NA
4.8843317,-77.6229186,NA
4.8439367,-77.6157166,NA
4.8116665,-77.6094910,NA
4.7784452,-77.6031734,NA
4.7630883,-77.6012637,NA
4.7300738,-77.5985398,NA
4.6977602,-77.5976257,NA
4.6455464,-77.6017914,NA
4.6123104,-77.6059971,NA
4.3796659,-77.6400328,NA
4.3464251,-77.6451472,NA
4.3370167,-77.6500015,NA
4.3218942,-77.6587350,NA
4.2612216,-77.6978957,NA
4.2466941,-77.7034861,NA
4.2126129,-77.7158302,NA
4.1801991,-77.7166672,NA
4.0804458,-77.7112897,NA
4.0471888,-77.6984093,NA
4.0334518,-77.6833267,NA
4.0139308,-77.6698972,NA
4.0004937,-77.6634663,NA
3.9806740,-77.6567566,NA
3.9729991,-77.6576920,NA
3.9474161,-77.6639516,NA
3.9021205,-77.6947589,NA
3.8791106,-77.6896820,NA
3.8576667,-77.6873474,NA
3.8528790,-77.6883011,NA
3.8386781,-77.6787872,NA
3.8239980,-77.6739883,NA
3.7416668,-77.6539917,NA
3.7181666,-77.6511841,NA
3.6799831,-77.6587906,NA
3.6476114,-77.6804657,NA
3.6259806,-77.7129059,NA
3.6183848,-77.7511673,NA
3.6259806,-77.7894287,NA
3.6476114,-77.8218689,NA
3.6799831,-77.8435440,NA
3.6837128,-77.8447630,NA
3.6761316,-77.8500137,NA
3.5339179,-77.9643302,NA
3.5280435,-77.9833374,NA
3.5236225,-77.9920267,NA
3.5149484,-78.0064431,NA
3.5080373,-78.0166702,NA
3.4964460,-78.0314689,NA
3.4816728,-78.0470532,NA
3.4777570,-78.0500031,NA
3.4483886,-78.0681229,NA
3.4236772,-78.0747608,NA
3.4151106,-78.0769696,NA
3.3860575,-78.0791098,NA
3.3519370,-78.0799530,NA
3.3485527,-78.0795332,NA
