Date,Time,Lat,Lon,SightNo,SightID,Effort,Species,Line,Phase,SubGrp,SubGrpID,Event,GSBest
102611,131606,7.241,-164.935,4,102611_004,S,33,G.,1,A,102611_004_A,1,5
102611,133117,7.207,-164.957,4,102611_004,S,33,G.,1,B,102611_004_B,1,7
102611,134826,7.17,-164.983,4,102611_004,S,33,G.,1,C,102611_004_C,1,1
102611,140229,7.139,-165.004,4,102611_004,S,33,G.,1,D,102611_004_D,1,1
102611,140229,7.139,-165.004,4,102611_004,S,33,G.,1,D,102611_004_D,2,1
43012,80452,4.261,-162.711,37,043012_037,O,33,G ,2,SB,043012_037_SB,1,1
43012,80452,4.261,-162.711,37,043012_037,O,33,G ,2,SB,043012_037_SB,2,1
43012,81355,4.259,-162.692,37,043012_037,O,33,G ,2,SC,043012_037_SC,1,5
43012,81355,4.259,-162.692,37,043012_037,O,33,G ,2,SC,043012_037_SC,2,3
43012,81355,4.259,-162.692,37,043012_037,O,33,G ,2,SC,043012_037_SC,3,4
43012,81355,4.259,-162.692,37,043012_037,O,33,G ,2,SC,043012_037_SC,4,4
43012,81355,4.259,-162.692,37,043012_037,O,33,G ,2,SC,043012_037_SC,5,2
43012,81355,4.259,-162.692,37,043012_037,O,33,G ,2,SC,043012_037_SC,6,5
51212,170655,9.453,-162.206,68,051212_068,O,33,G ,2,SA,051212_068_SA,1,2
51212,170655,9.453,-162.206,68,051212_068,O,33,G ,2,SA,051212_068_SA,2,1
51212,170655,9.453,-162.206,68,051212_068,O,33,G ,2,SA,051212_068_SA,3,1
51412,133852,14.818,-160.22,71,051412_071,O,33,G ,2,SA,051412_071_SA,1,1
51412,133852,14.818,-160.22,71,051412_071,O,33,G ,2,SA,051412_071_SA,2,1
51412,133952,14.817,-160.221,71,051412_071,O,33,G ,2,SB,051412_071_SB,1,1
51412,133952,14.817,-160.221,71,051412_071,O,33,G ,2,SB,051412_071_SB,2,3
51313,70954,24.302,-168.32,13,051313_013,S,33,G.,1,A,051313_013_A,1,1
51313,70954,24.302,-168.32,13,051313_013,S,33,G.,1,A,051313_013_A,2,1
51313,72454,24.344,-168.332,13,051313_013,S,33,G.,1,B,051313_013_B,1,4
51513,152909,25.77,-171.498,20,051513_020,O,33,G ,2,SA,051513_020_SA,1,3
51513,152909,25.77,-171.498,20,051513_020,O,33,G ,2,SA,051513_020_SA,2,6
51513,152909,25.77,-171.498,20,051513_020,O,33,G ,2,SA,051513_020_SA,3,6
51513,153943,25.768,-171.482,20,051513_020,O,33,G ,2,SB,051513_020_SB,1,3
51513,153943,25.768,-171.482,20,051513_020,O,33,G ,2,SB,051513_020_SB,2,1
51513,154330,25.762,-171.479,20,051513_020,O,33,G ,2,SC,051513_020_SC,1,1
51513,155913,25.746,-171.456,20,051513_020,O,33,G ,2,SD,051513_020_SD,1,3
51513,155913,25.746,-171.456,20,051513_020,O,33,G ,2,SD,051513_020_SD,2,3
51513,155913,25.746,-171.456,20,051513_020,O,33,G ,2,SD,051513_020_SD,3,6
52613,152911,24.995,-169.97,59,052613_059,S,33,G.,1,A,052613_059_A,1,4
52613,152911,24.995,-169.97,59,052613_059,S,33,G.,1,A,052613_059_A,2,5
52713,152822,25.177,-168.351,62,052713_062,S,33,G.,1,A,052713_062_A,1,1
52713,153648,25.189,-168.327,62,052713_062,S,33,G.,1,B,052713_062_B,1,1
52713,153951,25.193,-168.319,62,052713_062,S,33,G.,1,C,052713_062_C,1,5
52713,153951,25.193,-168.319,62,052713_062,S,33,G.,1,C,052713_062_C,2,5
52713,154529,25.2,-168.303,62,052713_062,S,33,G.,1,D,052713_062_D,1,1
52713,160403,25.208,-168.298,62,052713_062,S,33,G ,2,SA,052713_062_SA,1,4
52713,160403,25.208,-168.298,62,052713_062,S,33,G ,2,SA,052713_062_SA,2,4
60213,101711,22.89,-163.824,89,060213_089,O,33,G ,2,SA,060213_089_SA,1,1
60213,102136,22.893,-163.831,89,060213_089,O,33,G ,2,SB,060213_089_SB,1,1
60213,102136,22.893,-163.831,89,060213_089,O,33,G ,2,SB,060213_089_SB,2,1
60213,102544,22.893,-163.837,89,060213_089,O,33,G ,2,SC,060213_089_SC,1,1
70516,181653,22.238,-158.567,21,070516_021,O,33,G ,2,SC,070516_021_SC,1,1
