lat,lon
20.3363,156.096
20.3411,156.095
20.3462,156.093
20.352,156.092
20.3566,156.091
20.3624,156.091
20.3668,156.088
20.3741,156.085
20.3811,156.082
20.3881,156.08
20.3944,156.077
20.3974,156.073
20.4012,156.07
20.4054,156.067
20.4114,156.064
20.4187,156.063
20.4237,156.061
20.4294,156.059
20.435,156.056
20.4396,156.054
20.4444,156.051
20.4496,156.049
20.454,156.045
20.4562,156.041
20.4575,156.035
20.4592,156.03
20.4645,156.026
20.4681,156.021
20.4702,156.016
20.4723,156.01
20.475,156.005
20.4785,156.001
20.4802,155.996
20.481,155.991
20.4813,155.983
20.4814,155.977
20.482,155.972
20.4813,155.966
20.4803,155.96
20.4817,155.953
20.4822,155.948
20.4806,155.942
20.4785,155.935
20.4762,155.928
20.4737,155.924
20.4706,155.92
20.4681,155.916
20.4682,155.911
20.4682,155.906
20.4675,155.9
20.4669,155.894
20.4655,155.888
20.4636,155.883
20.462,155.877
20.4605,155.872
20.4572,155.868
20.4541,155.863
20.451,155.857
20.4488,155.853
20.4478,155.848
20.4465,155.842
20.4418,155.841
20.4376,155.839
20.4358,155.833
20.4343,155.828
20.4329,155.823
20.4293,155.819
20.4253,155.817
20.4227,155.812
20.4201,155.807
20.4169,155.801
20.4125,155.797
20.4095,155.793
20.4082,155.788
20.4072,155.782
20.4065,155.777
20.4064,155.772
20.4054,155.767
20.4041,155.762
20.4041,155.757
20.4041,155.752
20.4016,155.747
20.4032,155.741
20.404,155.736
20.4036,155.73
20.4,155.727
20.3973,155.722
20.3962,155.717
20.3958,155.711
20.3951,155.707
20.3949,155.701
20.3949,155.694
20.3939,155.688
20.3921,155.683
20.388,155.68
20.3854,155.675
20.3866,155.67
20.3881,155.665
20.391,155.661
20.3932,155.655
20.391,155.651
20.3877,155.647
20.3902,155.642
20.3899,155.636
20.3836,155.633
20.3801,155.629
20.3799,155.628
20.3807,155.623
20.3813,155.617
20.3811,155.612
20.3818,155.606
20.3813,155.601
20.3802,155.596
20.3795,155.59
20.3802,155.586
20.3792,155.58
20.3787,155.574
20.3782,155.568
20.3776,155.562
20.3769,155.557
20.3762,155.551
20.3749,155.546
20.3734,155.541
20.3696,155.538
20.3662,155.534
20.3637,155.53
20.3591,155.525
20.3563,155.52
20.3537,155.516
20.3505,155.512
20.3458,155.508
20.3417,155.506
20.338,155.502
20.3376,155.497
20.3367,155.492
20.3356,155.486
20.3345,155.48
20.3311,155.476
20.3258,155.472
20.3261,155.467
20.3289,155.462
20.3257,155.457
20.3214,155.455
20.317,155.453
20.3123,155.451
20.302,155.451
20.3001,155.456
20.2996,155.461
20.2983,155.466
20.2985,155.472
20.3025,155.475
20.3,155.479
20.2978,155.484
20.2951,155.489
20.2907,155.491
20.2861,155.49
20.2815,155.487
20.2769,155.486
20.2722,155.485
20.2674,155.483
20.2627,155.48
20.2586,155.477
20.2555,155.473
20.2499,155.474
20.2458,155.47
20.2384,155.469
20.2371,155.463
20.2365,155.457
20.2348,155.451
20.2325,155.447
20.2296,155.443
20.2265,155.438
20.2198,155.436
20.2145,155.437
20.2105,155.432
20.2084,155.428
20.2067,155.423
20.2048,155.417
20.203,155.412
20.2017,155.408
20.2013,155.402
20.2002,155.397
20.196,155.4
20.1905,155.402
20.1849,155.4
20.1837,155.395
20.1804,155.39
20.1776,155.384
20.175,155.379
20.1739,155.373
20.1706,155.37
20.167,155.366
20.1631,155.361
20.1612,155.355
20.1604,155.348
20.1594,155.343
20.1578,155.338
20.1571,155.332
20.1547,155.328
20.1524,155.324
20.1504,155.319
20.1492,155.314
20.1474,155.307
20.1456,155.302
20.1423,155.297
20.139,155.294
20.1357,155.289
20.1324,155.284
20.1323,155.283
20.1288,155.278
20.126,155.274
20.1232,155.269
20.1207,155.264
20.1173,155.261
20.1148,155.256
20.112,155.251
20.1081,155.247
20.1034,155.244
20.0997,155.24
20.0982,155.234
20.0949,155.23
20.0918,155.226
20.0876,155.222
20.084,155.218
20.0806,155.215
20.0764,155.212
20.0727,155.208
20.0693,155.204
20.0656,155.2
20.0634,155.195
20.0609,155.19
20.0579,155.186
20.0541,155.182
20.0499,155.178
20.0471,155.173
20.0447,155.169
20.0426,155.164
20.0406,155.159
20.0391,155.154
20.0375,155.149
20.0351,155.145
20.0324,155.14
20.0304,155.134
20.028,155.129
20.026,155.125
20.0252,155.12
20.0247,155.115
20.0232,155.11
20.0212,155.105
20.0205,155.1
20.0193,155.095
20.0174,155.09
20.015,155.085
20.0128,155.08
20.0099,155.075
20.0075,155.07
20.0059,155.065
20.0042,155.061
20.0019,155.055
20.0007,155.05
19.9996,155.045
19.9971,155.041
