"lat","lon"
20.3363,156.096
20.4444,156.051
20.4822,155.948
20.4465,155.842
20.4041,155.752
20.391,155.651
20.3762,155.551
20.3289,155.462
20.2627,155.48
20.2013,155.402
20.1504,155.319
20.0949,155.23
20.0351,155.145
19.9996,155.045
19.9486,154.957
19.8631,154.909
19.7727,154.946
19.6703,154.94
19.5851,154.88
19.5489,154.751
19.453,154.809
19.3897,154.896
19.3237,154.982
19.2741,155.081
19.2154,155.173
19.1952,155.283
19.1711,155.363
19.1032,155.425
19.077,155.494
19.0086,155.555
18.9218,155.598
18.8422,155.663
18.8415,155.714
18.9351,155.728
18.9776,155.834
19.0369,155.918
19.1342,155.945
19.2345,155.926
19.3431,155.915
19.448,155.957
19.5304,156.015
19.6482,156.054
19.7554,156.107
19.852,156.153
19.929,156.137
20.024,156.108
20.1019,156.054
20.182,156.074
20.2788,156.114
20.3295,156.103
20.3363,156.096
