Island,lon,lat
KaNi,-160.24,21.6844
KaNi,-160.246,21.6853
KaNi,-160.251,21.6864
KaNi,-160.257,21.6892
KaNi,-160.27,21.6933
KaNi,-160.275,21.6953
KaNi,-160.286,21.7028
KaNi,-160.303,21.7166
KaNi,-160.319,21.7316
KaNi,-160.331,21.7484
KaNi,-160.331,21.7759
KaNi,-160.323,21.8007
KaNi,-160.314,21.822
KaNi,-160.313,21.8274
KaNi,-160.312,21.8317
KaNi,-160.311,21.8412
KaNi,-160.311,21.8478
KaNi,-160.312,21.8534
KaNi,-160.314,21.8738
KaNi,-160.312,21.8846
KaNi,-160.308,21.9015
KaNi,-160.307,21.9068
KaNi,-160.304,21.9117
KaNi,-160.301,21.9166
KaNi,-160.298,21.9203
KaNi,-160.295,21.9248
KaNi,-160.289,21.9443
KaNi,-160.284,21.955
KaNi,-160.279,21.9657
KaNi,-160.272,21.9736
KaNi,-160.265,21.9788
KaNi,-160.258,21.9866
KaNi,-160.249,21.9958
KaNi,-160.228,22.0211
KaNi,-160.223,22.0264
KaNi,-160.204,22.054
KaNi,-160.195,22.0654
KaNi,-160.172,22.0817
KaNi,-160.167,22.0841
KaNi,-160.139,22.0906
KaNi,-160.132,22.089
KaNi,-160.111,22.0881
KaNi,-160.106,22.087
KaNi,-160.083,22.0843
KaNi,-160.063,22.0817
KaNi,-160.056,22.081
KaNi,-160.033,22.0783
KaNi,-160.024,22.0743
KaNi,-160.014,22.072
KaNi,-160.01,22.0699
KaNi,-160.005,22.0562
KaNi,-160.003,22.0509
KaNi,-160.003,22.0275
KaNi,-160.003,22.0225
KaNi,-160.001,21.9994
KaNi,-160,21.9863
KaNi,-159.997,21.9744
KaNi,-159.988,21.955
KaNi,-159.985,21.9434
KaNi,-159.981,21.9342
KaNi,-159.972,21.9181
KaNi,-159.948,21.9434
KaNi,-159.945,21.9471
KaNi,-159.927,21.971
KaNi,-159.92,21.9956
KaNi,-159.92,22.0017
KaNi,-159.92,22.0264
KaNi,-159.92,22.054
KaNi,-159.917,22.0638
KaNi,-159.915,22.0807
KaNi,-159.911,22.1068
KaNi,-159.912,22.1115
KaNi,-159.912,22.135
KaNi,-159.91,22.14
KaNi,-159.901,22.1576
KaNi,-159.888,22.1617
KaNi,-159.86,22.1636
KaNi,-159.833,22.1824
KaNi,-159.829,22.1878
KaNi,-159.825,22.1958
KaNi,-159.82,22.2036
KaNi,-159.816,22.2073
KaNi,-159.809,22.2167
KaNi,-159.804,22.2194
KaNi,-159.785,22.2275
KaNi,-159.776,22.2299
KaNi,-159.761,22.2339
KaNi,-159.754,22.2366
KaNi,-159.749,22.2393
KaNi,-159.738,22.2424
KaNi,-159.729,22.2471
KaNi,-159.716,22.2544
KaNi,-159.692,22.274
KaNi,-159.687,22.2778
KaNi,-159.673,22.2864
KaNi,-159.657,22.2968
