lat,lon
21.6844,160.24
21.6853,160.246
21.6864,160.251
21.6892,160.257
21.6933,160.27
21.6953,160.275
21.7028,160.286
21.7166,160.303
21.7316,160.319
21.7484,160.331
21.7759,160.331
21.8007,160.323
21.822,160.314
21.8274,160.313
21.8317,160.312
21.8412,160.311
21.8478,160.311
21.8534,160.312
21.8738,160.314
21.8846,160.312
21.9015,160.308
21.9068,160.307
21.9117,160.304
21.9166,160.301
21.9203,160.298
21.9248,160.295
21.9443,160.289
21.955,160.284
21.9657,160.279
21.9736,160.272
21.9788,160.265
21.9866,160.258
21.9958,160.249
22.0211,160.228
22.0264,160.223
22.054,160.204
22.0654,160.195
22.0817,160.172
22.0841,160.167
22.0906,160.139
22.089,160.132
22.0881,160.111
22.087,160.106
22.0843,160.083
22.0817,160.063
22.081,160.056
22.0783,160.033
22.0743,160.024
22.072,160.014
22.0699,160.01
22.0562,160.005
22.0509,160.003
22.0275,160.003
22.0225,160.003
21.9994,160.001
21.9863,160
21.9744,159.997
21.955,159.988
21.9434,159.985
21.9342,159.981
21.9181,159.972
21.9434,159.948
21.9471,159.945
21.971,159.927
21.9956,159.92
22.0017,159.92
22.0264,159.92
22.054,159.92
22.0638,159.917
22.0807,159.915
22.1068,159.911
22.1115,159.912
22.135,159.912
22.14,159.91
22.1576,159.901
22.1617,159.888
22.1636,159.86
22.1824,159.833
22.1878,159.829
22.1958,159.825
22.2036,159.82
22.2073,159.816
22.2167,159.809
22.2194,159.804
22.2275,159.785
22.2299,159.776
22.2339,159.761
22.2366,159.754
22.2393,159.749
22.2424,159.738
22.2471,159.729
22.2544,159.716
22.274,159.692
22.2778,159.687
22.2864,159.673
22.2968,159.657
22.2998,159.653
22.3063,159.645
22.3101,159.64
22.3142,159.63
22.3187,159.622
22.3211,159.614
22.3232,159.6
22.3262,159.584
22.3267,159.579
22.3268,159.56
22.3271,159.552
22.3242,159.535
22.3183,159.518
22.318,159.512
22.3136,159.502
22.3124,159.494
22.3116,159.466
22.3081,159.444
22.3073,159.438
22.3062,159.428
22.3053,159.423
22.305,159.417
22.3055,159.408
22.3054,159.382
22.3057,159.377
22.301,159.351
22.2992,159.346
22.2973,159.34
22.2945,159.332
22.287,159.318
22.2797,159.304
22.273,159.296
22.2449,159.275
22.2403,159.27
22.2324,159.263
22.2182,159.254
22.191,159.227
22.1625,159.211
22.1591,159.208
22.1544,159.208
22.134,159.206
22.127,159.206
22.1079,159.208
22.1006,159.209
22.0915,159.211
22.0869,159.213
22.0611,159.23
22.0568,159.232
22.0292,159.256
22.0156,159.262
21.9997,159.267
21.9865,159.269
21.9601,159.267
21.9523,159.269
21.9351,159.274
21.9302,159.274
21.9266,159.278
21.9227,159.281
21.9117,159.29
21.8848,159.309
21.8779,159.316
21.8576,159.34
21.8542,159.344
21.8507,159.347
21.8467,159.35
21.8431,159.355
21.8231,159.378
21.8175,159.387
21.8106,159.402
21.8072,159.408
21.8056,159.413
21.8022,159.423
21.8005,159.428
21.7967,159.445
21.7951,159.456
21.7938,159.474
21.7951,159.486
21.7956,159.491
21.7969,159.497
21.7996,159.502
21.8154,159.524
21.82,159.53
21.8423,159.554
21.8434,159.56
21.8457,159.567
21.847,159.572
21.8474,159.581
21.8471,159.588
21.846,159.614
21.8497,159.636
21.8521,159.643
21.8537,159.647
21.8581,159.657
21.86,159.663
21.8617,159.688
21.862,159.695
21.8633,159.714
21.8709,159.722
21.8757,159.732
21.8873,159.747
21.8902,159.752
21.8943,159.778
21.8946,159.785
21.8923,159.805
21.8932,159.811
21.8956,159.833
21.8969,159.842
21.8947,159.861
21.8938,159.867
21.8877,159.874
21.8837,159.885
21.8847,159.914
21.8824,159.922
21.8753,159.945
21.8597,159.969
21.8386,159.993
21.833,160
21.822,160.01
21.8041,160.026
21.7764,160.052
21.7582,160.073
21.7505,160.083
21.7315,160.113
21.7229,160.126
21.7146,160.143
21.7062,160.164
21.702,160.173
21.6985,160.177
21.6953,160.182
21.6883,160.203
21.6859,160.208
21.6843,160.235
21.6844,160.24
