"lat","lon"
21.6844,160.24
21.6953,160.275
21.7759,160.331
21.8412,160.311
21.9015,160.308
21.9248,160.295
21.9788,160.265
22.054,160.204
22.089,160.132
22.081,160.056
22.0562,160.005
21.9863,160
21.9181,159.972
22.0017,159.92
22.1068,159.911
22.1617,159.888
22.2036,159.82
22.2299,159.776
22.2471,159.729
22.2968,159.657
22.3187,159.622
22.3268,159.56
22.3136,159.502
22.3062,159.428
22.3057,159.377
22.287,159.318
22.2324,159.263
22.1544,159.208
22.0915,159.211
22.0156,159.262
21.9351,159.274
21.8848,159.309
21.8467,159.35
21.8072,159.408
21.7951,159.456
21.7996,159.502
21.8457,159.567
21.8497,159.636
21.8617,159.688
21.8873,159.747
21.8932,159.811
21.8877,159.874
21.8597,159.969
21.7764,160.052
21.7146,160.143
21.6883,160.203
21.6844,160.24
