lat,lon
21.5589,158.39
21.5627,158.393
21.5675,158.397
21.5711,158.401
21.5746,158.404
21.594,158.412
21.6007,158.416
21.618,158.417
21.6341,158.417
21.6485,158.416
21.6625,158.414
21.6873,158.411
21.6934,158.408
21.7131,158.417
21.7103,158.428
21.7043,158.445
21.6934,158.454
21.6737,158.472
21.681,158.485
21.6934,158.491
21.7054,158.488
21.7211,158.488
21.7352,158.472
21.7308,158.463
21.7321,158.445
21.7315,158.434
21.7266,158.417
21.7346,158.403
21.736,158.389
21.738,158.378
21.7386,158.361
21.7413,158.353
21.7415,158.333
21.7411,158.313
21.7403,158.305
21.7387,158.288
21.7389,158.278
21.7436,158.255
21.7442,158.25
21.7487,158.242
21.7558,158.222
21.7645,158.207
21.7714,158.195
21.7764,158.187
21.7856,158.167
21.803,158.14
21.8265,158.111
21.8317,158.102
21.8382,158.089
21.8406,158.083
21.8443,158.068
21.8462,158.055
21.8469,158.043
21.8478,158.028
21.8462,158.014
21.8454,158
21.8387,157.982
21.8375,157.972
21.834,157.961
21.8311,157.956
21.8183,157.93
21.8135,157.909
21.8087,157.898
21.8083,157.89
21.8106,157.883
21.8113,157.878
21.8112,157.872
21.8094,157.868
21.8074,157.863
21.8042,157.859
21.8024,157.854
21.8005,157.848
21.7978,157.843
21.7932,157.839
21.7896,157.836
21.7884,157.831
21.7865,157.826
21.7814,157.824
21.7788,157.82
21.7742,157.817
21.7718,157.812
21.7669,157.81
21.762,157.811
21.757,157.811
21.7522,157.812
21.7476,157.811
21.7428,157.809
21.7379,157.806
21.7338,157.803
21.7282,157.799
21.7233,157.799
21.7187,157.799
21.7141,157.797
21.7099,157.795
21.7051,157.793
21.7002,157.791
21.6955,157.789
21.6905,157.788
21.6842,157.787
21.6794,157.786
21.6767,157.781
21.6726,157.778
21.6679,157.776
21.6631,157.776
21.6582,157.775
21.6527,157.775
21.6482,157.778
21.6437,157.776
21.6412,157.772
21.6365,157.771
21.6322,157.774
21.6269,157.771
21.6257,157.766
21.6268,157.761
21.6232,157.756
21.6184,157.753
21.6151,157.748
21.6134,157.743
21.6098,157.74
21.606,157.736
21.6052,157.731
21.606,157.726
21.6005,157.726
21.5961,157.729
21.5908,157.731
21.5861,157.732
21.5812,157.733
21.5823,157.728
21.5781,157.725
21.5809,157.721
21.5861,157.719
21.59,157.716
21.594,157.714
21.5949,157.708
21.5933,157.703
21.5892,157.7
21.5861,157.697
21.5827,157.693
21.5781,157.69
21.5758,157.685
21.5717,157.683
21.5672,157.68
21.5634,157.675
21.5669,157.672
21.5715,157.67
21.5748,157.667
21.5714,157.661
21.5678,157.656
21.56,157.652
21.5549,157.652
21.554,157.652
21.5512,157.648
21.5483,157.644
21.5434,157.644
21.5374,157.647
21.5331,157.645
21.5283,157.641
21.5261,157.637
21.5224,157.633
21.5181,157.636
21.5132,157.637
21.5086,157.638
21.5076,157.632
21.5084,157.627
21.501,157.626
21.4957,157.626
21.4937,157.619
21.4939,157.614
21.4913,157.609
21.4905,157.603
21.4911,157.598
21.4881,157.592
21.4861,157.588
21.4832,157.583
21.482,157.577
21.4837,157.572
21.4829,157.567
21.4829,157.562
21.4839,157.557
21.4847,157.551
21.4873,157.546
21.4896,157.542
21.4886,157.537
21.4888,157.532
21.4867,157.527
21.4859,157.521
21.4859,157.516
21.4844,157.511
21.4847,157.506
21.4865,157.501
21.4889,157.496
21.4904,157.491
21.4914,157.486
21.4907,157.48
21.4894,157.475
21.4885,157.47
21.4887,157.464
21.4898,157.459
21.4903,157.453
21.4899,157.448
21.4887,157.442
21.4877,157.436
21.4845,157.432
21.4818,157.427
21.4807,157.421
21.4804,157.415
21.4781,157.41
21.4779,157.405
21.4798,157.4
21.4803,157.394
21.4786,157.387
21.479,157.382
21.4794,157.376
21.4778,157.372
21.4764,157.367
21.4764,157.361
21.476,157.356
21.4744,157.352
21.4726,157.347
21.4719,157.342
21.4676,157.337
21.464,157.331
21.4645,157.326
21.4642,157.321
21.4625,157.316
21.4609,157.31
21.4579,157.306
21.453,157.303
21.4482,157.3
21.4498,157.295
21.4473,157.291
21.4449,157.286
21.4421,157.281
21.4395,157.275
21.4313,157.267
21.4211,157.265
21.4117,157.263
21.4073,157.261
21.401,157.257
21.3972,157.253
21.3937,157.249
21.3899,157.242
21.3737,157.219
21.3671,157.204
21.3572,157.176
21.3533,157.167
21.3474,157.151
21.3437,157.139
21.3403,157.13
21.334,157.109
21.3317,157.097
21.3272,157.081
21.3237,157.059
21.3233,157.052
21.3241,157.032
21.3253,157.025
21.3262,157.003
21.3249,156.998
21.3242,156.976
21.3205,156.968
21.3204,156.95
21.3208,156.941
21.3203,156.923
21.3227,156.918
21.321,156.912
21.3203,156.893
21.3197,156.884
21.3217,156.865
21.3246,156.858
21.3226,156.837
21.3234,156.83
21.3171,156.81
21.31,156.797
21.3042,156.787
21.2969,156.762
21.2986,156.752
21.2976,156.743
21.2982,156.732
21.2982,156.721
21.3041,156.711
21.3099,156.7
21.3143,156.695
21.3193,156.682
21.3222,156.667
21.3216,156.657
21.3167,156.639
21.3041,156.615
21.3013,156.611
21.2916,156.583
21.2913,156.57
21.2905,156.555
21.2908,156.542
21.3041,156.532
21.3074,156.528
21.3165,156.512
21.3209,156.5
21.3189,156.485
