"lat","lon"
21.5589,158.39
21.7054,158.488
21.7558,158.222
21.8183,157.93
21.7718,157.812
21.6767,157.781
21.6052,157.731
21.5717,157.683
21.5132,157.637
21.4873,157.546
21.4887,157.442
21.4676,157.337
21.3937,157.249
21.3204,156.95
21.3099,156.7
21.2997,156.449
21.0935,156.155
20.9039,155.996
20.7537,155.892
20.6718,155.943
20.6083,156.034
20.5665,156.146
20.527,156.237
20.4949,156.333
20.4775,156.432
20.4603,156.538
20.4484,156.63
20.4421,156.735
20.39,156.823
20.3999,156.94
20.4493,157.108
20.5851,157.145
20.7642,157.13
20.8271,157.164
20.8569,157.164
20.9153,157.216
20.981,157.251
20.9495,157.344
20.9273,157.447
20.9009,157.551
20.8543,157.641
20.8017,157.766
20.9594,157.808
21.0275,158.025
21.1396,158.1
21.2302,158.161
21.3261,158.199
21.3969,158.276
21.4832,158.294
21.5504,158.371
21.5589,158.39
