lat,lon
20.333409,-156.512156
20.333449,-156.511905
20.333529,-156.511404
20.33357,-156.511151
20.333595,-156.511002
20.333643,-156.510716
20.333726,-156.510235
20.333776,-156.509946
20.333929,-156.509077
20.333981,-156.508788
20.334068,-156.508306
20.334121,-156.508016
20.334446,-156.50627
20.334486,-156.506059
20.334567,-156.505638
20.334608,-156.505427
20.334774,-156.504586
20.334816,-156.504376
20.334901,-156.503955
20.334944,-156.503745
20.335294,-156.502066
20.335338,-156.501856
20.335428,-156.501437
20.335473,-156.501228
20.335657,-156.50039
20.335703,-156.500181
20.335797,-156.499763
20.335845,-156.499554
20.336219,-156.49793
20.336266,-156.497728
20.336362,-156.497322
20.33641,-156.49712
20.336606,-156.49631
20.336655,-156.496108
20.336755,-156.495704
20.336806,-156.495502
20.337213,-156.493887
20.337265,-156.493686
20.337368,-156.493283
20.337421,-156.493081
20.337633,-156.492276
20.337687,-156.492075
20.337795,-156.491673
20.337849,-156.491473
20.33829,-156.489868
20.338345,-156.489667
20.338458,-156.489267
20.338514,-156.489067
20.338743,-156.488267
20.338801,-156.488067
20.338917,-156.487668
20.338976,-156.487469
20.339449,-156.485874
20.339509,-156.485675
20.339629,-156.485277
20.33969,-156.485079
20.339935,-156.484284
20.339997,-156.484086
20.340121,-156.483689
20.340184,-156.483491
20.340706,-156.481859
20.340802,-156.481561
20.340963,-156.481066
20.341061,-156.480769
20.341356,-156.479878
20.341456,-156.479579
20.341624,-156.479081
20.341709,-156.478829
20.341761,-156.47868
20.341859,-156.478394
20.342028,-156.47791
20.34213,-156.47762
20.342441,-156.476744
20.342545,-156.476452
20.342721,-156.475965
20.342827,-156.475674
20.343415,-156.474068
20.343487,-156.473873
20.343632,-156.473484
20.343704,-156.47329
20.343998,-156.472515
20.344072,-156.472321
20.34422,-156.471934
20.344295,-156.471741
20.344898,-156.470196
20.344974,-156.470003
20.345126,-156.469618
20.345203,-156.469426
20.345512,-156.468657
20.34559,-156.468465
20.345747,-156.468081
20.345825,-156.46789
20.34646,-156.46636
20.346539,-156.466169
20.3467,-156.465787
20.346781,-156.465597
20.347106,-156.464835
20.347187,-156.464645
20.347352,-156.464265
20.347615,-156.463671
20.347965,-156.462898
20.348007,-156.462799
20.348192,-156.462372
20.348296,-156.462132
20.348504,-156.461661
20.348758,-156.461098
20.348908,-156.460767
20.349082,-156.460392
20.34919,-156.460159
20.349631,-156.459219
20.349946,-156.458564
20.35024,-156.457967
20.350351,-156.457743
20.350616,-156.45712
20.350796,-156.456748
20.350886,-156.456563
20.351613,-156.45508
20.351704,-156.454895
20.351888,-156.454525
20.35198,-156.45434
20.352352,-156.453603
20.352445,-156.453419
20.352632,-156.453051
20.352727,-156.452868
20.353508,-156.451356
20.353651,-156.45108
20.353892,-156.450621
20.354037,-156.450346
20.354474,-156.449521
20.354622,-156.449244
20.35487,-156.448782
20.354997,-156.448547
20.355073,-156.448407
20.355215,-156.448148
20.355459,-156.447706
20.355606,-156.44744
20.356055,-156.446635
20.356205,-156.446367
20.356457,-156.445921
20.356608,-156.445654
20.357451,-156.44418
20.357553,-156.444002
20.357759,-156.443646
20.357863,-156.443468
20.358279,-156.442758
20.358383,-156.442581
20.358593,-156.442227
20.358698,-156.44205
20.359544,-156.44064
20.35965,-156.440464
20.359864,-156.440113
20.359971,-156.439937
20.360401,-156.439237
20.360509,-156.439062
20.360726,-156.438713
20.360835,-156.438539
20.36171,-156.437149
20.36182,-156.436975
20.362041,-156.436629
20.362151,-156.436456
20.362596,-156.435766
20.362707,-156.435594
20.362932,-156.43525
20.363044,-156.435078
20.363947,-156.433708
20.364061,-156.433537
20.364288,-156.433196
20.364403,-156.433026
20.364861,-156.432346
20.364976,-156.432177
20.365207,-156.431838
20.365323,-156.431669
20.366255,-156.43032
20.366371,-156.430152
20.366606,-156.429816
20.366724,-156.429649
20.367196,-156.42898
20.367315,-156.428813
20.367553,-156.42848
20.367672,-156.428313
20.368631,-156.426987
20.368751,-156.426821
20.368993,-156.426491
20.369114,-156.426326
20.3696,-156.425668
20.369722,-156.425504
20.369967,-156.425176
20.37009,-156.425013
20.371107,-156.423667
20.371293,-156.423422
20.371606,-156.423013
20.371794,-156.422768
20.37236,-156.422035
20.372552,-156.421789
20.372841,-156.421419
20.372927,-156.421309
20.373117,-156.421068
20.373206,-156.420956
20.37345,-156.420649
20.373881,-156.420111
20.374169,-156.419752
20.374868,-156.418889
20.375095,-156.418612
20.375472,-156.418152
20.375699,-156.417878
20.376382,-156.417056
20.376611,-156.416782
20.376993,-156.416328
20.377224,-156.416057
20.377926,-156.415233
20.378151,-156.41497
20.378528,-156.414535
20.378754,-156.414274
20.379436,-156.413494
20.379664,-156.413235
20.380046,-156.412803
20.380281,-156.412539
20.380998,-156.411739
20.381401,-156.411292
20.381943,-156.410695
20.382073,-156.410552
20.382328,-156.410275
20.382456,-156.410136
20.382961,-156.409591
20.383087,-156.409455
20.383341,-156.409184
20.383468,-156.409049
20.384488,-156.40797
20.384616,-156.407835
20.384872,-156.407567
20.385,-156.407433
20.385515,-156.406898
20.385644,-156.406765
20.385903,-156.406499
20.386033,-156.406367
20.38717,-156.40521
20.387313,-156.405066
20.387599,-156.404778
20.387742,-156.404635
20.388317,-156.404063
20.388461,-156.40392
20.38875,-156.403636
20.388895,-156.403494
20.390056,-156.402363
20.390202,-156.402222
20.390494,-156.401941
20.39064,-156.401801
20.391226,-156.401243
20.391373,-156.401104
20.391668,-156.400826
20.391816,-156.400688
20.393037,-156.39955
20.393262,-156.399342
20.393637,-156.398996
20.393862,-156.398789
20.394561,-156.398191
20.394787,-156.397974
20.395127,-156.397661
20.395245,-156.397557
20.39525,-156.397294
20.395232,-156.39713
20.395145,-156.396439
20.395079,-156.395887
20.394954,-156.39478
20.394895,-156.394227
20.39482,-156.393472
20.394801,-156.393284
20.394766,-156.392906
20.394748,-156.392717
20.394612,-156.391207
20.394595,-156.391018
20.394563,-156.39064
20.394548,-156.390451
20.394487,-156.389695
20.394472,-156.389506
20.394443,-156.389128
20.394429,-156.388939
20.394321,-156.387425
20.394308,-156.387235
20.394283,-156.386853
20.394271,-156.386662
20.394223,-156.385898
20.394212,-156.385707
20.39419,-156.385325
20.39418,-156.385134
20.3941,-156.383606
20.39409,-156.383415
20.394072,-156.383033
20.394063,-156.382842
20.39403,-156.382077
20.394023,-156.381886
20.394008,-156.381504
20.394001,-156.381312
20.393947,-156.379704
20.393936,-156.379314
20.393918,-156.378663
20.393909,-156.378272
20.393884,-156.377101
20.393877,-156.37671
20.393868,-156.376059
20.393864,-156.375733
20.393863,-156.375601
