lat,lon
21.402151,-157.221822
21.402071,-157.221594
21.402078,-157.221451
21.402051,-157.22102
21.402088,-157.220799
21.402157,-157.219118
21.402165,-157.218908
21.40218,-157.218487
21.402187,-157.218277
21.402213,-157.217436
21.402218,-157.217226
21.402229,-157.216805
21.402234,-157.216595
21.402268,-157.214912
21.402272,-157.214701
21.402279,-157.214281
21.402281,-157.21407
21.40229,-157.213229
21.402292,-157.213018
21.402294,-157.212598
21.402294,-157.212387
21.402294,-157.210704
21.402294,-157.210494
21.402292,-157.210073
21.40229,-157.209863
21.402281,-157.209021
21.402279,-157.208811
21.402272,-157.20839
21.402268,-157.208179
21.402234,-157.206497
21.402229,-157.206286
21.402218,-157.205866
21.402213,-157.205656
21.402187,-157.204814
21.40218,-157.204604
21.402165,-157.204184
21.402157,-157.203973
21.402088,-157.202292
21.402079,-157.202082
21.402059,-157.201661
21.402049,-157.201451
21.402006,-157.200611
21.401995,-157.200401
21.401971,-157.199981
21.401959,-157.199771
21.401856,-157.198091
21.401842,-157.197881
21.401814,-157.197462
21.4018,-157.197252
21.401739,-157.196413
21.401724,-157.196203
21.401692,-157.195784
21.401675,-157.195574
21.401537,-157.193897
21.40152,-157.193688
21.401483,-157.193269
21.401464,-157.193059
21.401387,-157.192222
21.401367,-157.192012
21.401326,-157.191594
21.401305,-157.191385
21.401134,-157.189712
21.401112,-157.189503
21.401066,-157.189085
21.401043,-157.188876
21.400949,-157.18804
21.400925,-157.187831
21.400875,-157.187414
21.40085,-157.187205
21.400644,-157.185536
21.400618,-157.185328
21.400564,-157.184911
21.400537,-157.184703
21.400425,-157.18387
21.400397,-157.183661
21.400339,-157.183245
21.40031,-157.183037
21.400062,-157.181322
21.400016,-157.181011
21.399939,-157.180492
21.399891,-157.180181
21.399747,-157.179249
21.399698,-157.17894
21.399616,-157.178425
21.399566,-157.178119
21.39954,-157.177962
21.399496,-157.1777
21.399407,-157.177179
21.399353,-157.176866
21.399189,-157.175934
21.399134,-157.175623
21.39904,-157.175106
21.398983,-157.174796
21.398666,-157.173093
21.398627,-157.172887
21.398547,-157.172475
21.398507,-157.172269
21.398345,-157.171445
21.398304,-157.17124
21.398221,-157.170828
21.398178,-157.170623
21.397837,-157.16898
21.397794,-157.168774
21.397706,-157.168364
21.397662,-157.168159
21.397483,-157.16734
21.397437,-157.167135
21.397346,-157.166726
21.397299,-157.166521
21.396924,-157.164886
21.396877,-157.164682
21.396781,-157.164274
21.396733,-157.16407
21.396537,-157.163255
21.396487,-157.163051
21.396387,-157.162644
21.396337,-157.162441
21.395928,-157.160815
21.395877,-157.160612
21.395772,-157.160207
21.39572,-157.160004
21.395507,-157.159193
21.395454,-157.158991
21.395345,-157.158586
21.395291,-157.158384
21.394849,-157.156769
21.394793,-157.156567
21.394681,-157.156164
21.394624,-157.155962
21.394395,-157.155157
21.394337,-157.154956
21.394221,-157.154554
21.394162,-157.154353
21.393687,-157.152748
21.393627,-157.152548
21.393507,-157.152147
21.393446,-157.151947
21.3932,-157.151147
21.393139,-157.150947
21.393014,-157.150548
21.392951,-157.150349
21.392428,-157.148706
21.392332,-157.148409
21.392172,-157.147913
21.392075,-157.147617
21.391782,-157.146727
21.391684,-157.146433
21.39152,-157.145945
21.391423,-157.145657
21.391371,-157.145506
21.391284,-157.145253
21.39111,-157.144753
21.391006,-157.144454
21.390692,-157.143564
21.390586,-157.143268
21.39041,-157.142775
21.390303,-157.14248
21.389713,-157.140862
21.389641,-157.140666
21.389496,-157.140275
21.389423,-157.14008
21.389129,-157.139299
21.389055,-157.139104
21.388906,-157.138714
21.388831,-157.13852
21.388227,-157.136965
21.388151,-157.136771
21.387998,-157.136384
21.387921,-157.13619
21.387611,-157.135416
21.387533,-157.135223
21.387376,-157.134837
21.387297,-157.134644
21.386662,-157.133104
21.386582,-157.132912
21.386421,-157.132528
21.38634,-157.132336
21.386015,-157.13157
21.385933,-157.131378
21.385768,-157.130996
21.385685,-157.130805
21.385411,-157.130179
21.385276,-157.129807
21.385204,-157.129611
21.385059,-157.12922
21.384986,-157.129025
21.384692,-157.128244
21.384618,-157.128049
21.384469,-157.127659
21.384394,-157.127465
21.38379,-157.12591
21.383714,-157.125716
21.383561,-157.125328
21.383484,-157.125135
21.383174,-157.124361
21.383096,-157.124168
21.382939,-157.123782
21.38286,-157.123589
21.382225,-157.122049
21.382145,-157.121857
21.381984,-157.121473
21.381903,-157.121281
21.381577,-157.120515
21.381495,-157.120323
21.381331,-157.119941
21.381248,-157.11975
21.380581,-157.118225
21.380497,-157.118035
21.38039,-157.117794
21.380381,-157.117651
21.380281,-157.116121
21.380261,-157.115821
21.380218,-157.115221
21.380195,-157.114921
21.380099,-157.113723
21.380074,-157.113423
21.380022,-157.112824
21.379995,-157.112524
21.379853,-157.111019
21.379817,-157.110655
21.379747,-157.109941
21.379736,-157.109795
21.379641,-157.108717
21.379582,-157.108147
21.379536,-157.1077
21.379509,-157.107452
21.379487,-157.107248
21.379445,-157.106872
21.379424,-157.106685
21.379336,-157.105934
21.379314,-157.105746
21.379268,-157.105371
21.379245,-157.105183
21.379056,-157.103684
21.379032,-157.103496
21.378983,-157.103122
21.378958,-157.102934
21.378857,-157.102186
21.378831,-157.101998
21.378779,-157.101624
21.378752,-157.101437
21.378525,-157.099866
21.37848,-157.099563
21.378404,-157.099059
21.378358,-157.098757
21.378218,-157.097851
21.378171,-157.097549
21.37809,-157.097046
21.378041,-157.096744
21.378008,-157.096545
21.377992,-157.096445
21.37795,-157.096198
21.377866,-157.095704
21.377815,-157.095408
21.377659,-157.094521
21.377607,-157.094226
21.377518,-157.093734
21.377464,-157.09344
21.377168,-157.091842
21.377126,-157.091619
21.377056,-157.091247
21.377032,-157.091121
21.37702,-157.090891
21.377009,-157.090681
21.376985,-157.090262
21.376973,-157.090052
21.37687,-157.088372
21.376856,-157.088162
21.376828,-157.087743
21.376814,-157.087533
21.376754,-157.086694
21.376738,-157.086484
21.376706,-157.086065
21.376689,-157.085855
21.376552,-157.084179
21.376534,-157.083969
21.376497,-157.083551
21.376478,-157.083341
21.376401,-157.082504
21.376381,-157.082294
21.37634,-157.081876
21.37632,-157.081667
21.376148,-157.079994
21.376126,-157.079785
21.376081,-157.079367
21.376058,-157.079158
21.375963,-157.078323
21.375939,-157.078114
21.37589,-157.077697
21.375864,-157.077488
21.375658,-157.07582
21.375632,-157.075611
21.375578,-157.075194
21.375551,-157.074986
21.37544,-157.074153
21.375411,-157.073945
21.375353,-157.073529
21.375324,-157.073321
21.375076,-157.071606
21.37503,-157.071294
21.374953,-157.070776
21.374906,-157.070465
21.374761,-157.069533
21.374713,-157.069224
21.37463,-157.068709
21.37458,-157.068403
21.374554,-157.068246
21.37451,-157.067984
21.374421,-157.067463
21.374367,-157.067151
21.374203,-157.066219
21.374148,-157.065908
21.374054,-157.065391
21.373997,-157.065081
21.373968,-157.064905
21.374245,-157.064346
21.374381,-157.064067
21.374921,-157.062946
21.374988,-157.062806
21.375122,-157.062526
21.375189,-157.062385
21.375454,-157.061822
21.37552,-157.061682
21.375652,-157.0614
21.375718,-157.061259
21.376416,-157.05975
21.376502,-157.059561
21.376675,-157.059183
