lat,lon
21.892837,-157.981769
21.892834,-157.981446
21.892855,-157.98066
21.89285,-157.980291
21.892835,-157.979446
21.892831,-157.979262
21.892823,-157.978892
21.892818,-157.978708
21.892807,-157.978285
21.892803,-157.978126
21.892793,-157.97781
21.892788,-157.977648
21.892755,-157.976704
21.892744,-157.976397
21.892728,-157.976018
21.892694,-157.975281
21.892675,-157.974902
21.892658,-157.974586
21.892618,-157.973899
21.892597,-157.973542
21.892538,-157.972005
21.892461,-157.970749
21.892441,-157.970433
21.892406,-157.969906
21.892384,-157.96959
21.892316,-157.968641
21.892293,-157.968325
21.892252,-157.967798
21.892227,-157.967482
21.892179,-157.966896
21.892153,-157.966581
21.892107,-157.966056
21.892079,-157.965741
21.891992,-157.964797
21.891962,-157.964482
21.891911,-157.963958
21.89188,-157.963644
21.891746,-157.962336
21.89171,-157.961993
21.891648,-157.96142
21.89161,-157.961077
21.891493,-157.960047
21.891453,-157.959704
21.891385,-157.959132
21.891343,-157.958789
21.891262,-157.958142
21.891227,-157.95786
21.891166,-157.95739
21.891128,-157.957108
21.891015,-157.956263
21.890977,-157.955982
21.890911,-157.955513
21.890872,-157.955231
21.890695,-157.954004
21.890649,-157.953689
21.890571,-157.953162
21.890523,-157.952847
21.890377,-157.951901
21.890328,-157.951586
21.890244,-157.951062
21.890202,-157.950802
21.890185,-157.950698
21.890081,-157.950067
21.890029,-157.949756
21.889941,-157.949238
21.889887,-157.948928
21.889724,-157.947996
21.889669,-157.947686
21.889575,-157.947169
21.889519,-157.946859
21.889296,-157.945664
21.889238,-157.945354
21.889139,-157.944837
21.889095,-157.944609
21.889007,-157.943827
21.888971,-157.943513
21.888909,-157.942989
21.888871,-157.942675
21.888767,-157.941829
21.888728,-157.941515
21.888661,-157.940992
21.88862,-157.940679
21.888494,-157.939739
21.888451,-157.939425
21.888379,-157.938903
21.888335,-157.93859
21.888186,-157.937556
21.88814,-157.937244
21.888063,-157.936724
21.888016,-157.936411
21.887871,-157.935475
21.887822,-157.935164
21.88774,-157.934646
21.887698,-157.934388
21.887681,-157.934285
21.88755,-157.93349
21.887498,-157.933178
21.887409,-157.932658
21.887356,-157.932347
21.887314,-157.932109
21.887286,-157.931934
21.887253,-157.931738
21.8872,-157.931424
21.887173,-157.931267
21.887065,-157.930642
21.887038,-157.930486
21.886983,-157.930174
21.886955,-157.930018
21.88673,-157.928773
21.886673,-157.928462
21.886556,-157.927841
21.886496,-157.927531
21.886252,-157.92629
21.88619,-157.92598
21.886064,-157.925361
21.885999,-157.925052
21.885737,-157.923816
21.885703,-157.923661
21.885637,-157.923353
21.885603,-157.923198
21.885467,-157.922582
21.885433,-157.922427
21.885363,-157.922119
21.885328,-157.921965
21.884953,-157.920325
21.884906,-157.92012
21.88481,-157.919711
21.884762,-157.919506
21.884566,-157.918688
21.884516,-157.918484
21.884416,-157.918075
21.884366,-157.917871
21.883957,-157.91624
21.883906,-157.916037
21.883801,-157.915629
21.883749,-157.915426
21.883536,-157.914613
21.883483,-157.91441
21.883374,-157.914004
21.88332,-157.913801
21.882878,-157.91218
21.882822,-157.911978
21.88271,-157.911573
21.882653,-157.911371
21.882424,-157.910563
21.882366,-157.910361
21.88225,-157.909958
21.882191,-157.909756
21.881716,-157.908146
21.881657,-157.907945
21.881536,-157.907543
21.881475,-157.907342
21.88123,-157.90654
21.881168,-157.906339
21.881043,-157.905939
21.88098,-157.905739
21.880457,-157.90409
21.880361,-157.903792
21.880201,-157.903295
21.880104,-157.902997
21.879811,-157.902105
21.879713,-157.90181
21.879565,-157.901368
21.87952,-157.901233
21.879424,-157.90095
21.879372,-157.900795
21.879225,-157.900368
21.878974,-157.899647
21.878807,-157.899169
21.878407,-157.898039
21.878279,-157.897681
21.878064,-157.897088
21.877935,-157.896733
21.877543,-157.895668
21.877411,-157.895314
21.87719,-157.894724
21.877056,-157.894371
21.876651,-157.893312
21.876515,-157.89296
21.876286,-157.892373
21.876148,-157.892022
21.87573,-157.890969
21.875589,-157.890618
21.875354,-157.890035
21.875211,-157.889685
21.87478,-157.888637
21.874631,-157.88828
21.874382,-157.887686
21.874232,-157.88733
21.873777,-157.886263
21.873624,-157.885909
21.873368,-157.885318
21.873213,-157.884964
21.872759,-157.883939
21.872703,-157.883811
21.872589,-157.883556
21.872532,-157.883429
21.872303,-157.88292
21.872245,-157.882793
21.87213,-157.882539
21.872072,-157.882412
21.871607,-157.881398
21.871548,-157.881272
21.871431,-157.881019
21.871373,-157.880892
21.871136,-157.880387
21.871077,-157.880261
21.870958,-157.880009
21.870899,-157.879883
21.870307,-157.878639
21.870234,-157.878487
21.870088,-157.878183
21.870014,-157.878031
21.869719,-157.877425
21.869645,-157.877273
21.869497,-157.87697
21.869422,-157.876819
21.868822,-157.875611
21.868746,-157.87546
21.868595,-157.875159
21.868519,-157.875009
21.868214,-157.874408
21.868137,-157.874258
21.867984,-157.873958
21.867907,-157.873808
21.867279,-157.872597
21.867165,-157.872379
21.866975,-157.872016
21.86686,-157.871798
21.866516,-157.871146
21.866402,-157.870932
21.866212,-157.870576
21.866102,-157.870371
21.866031,-157.87024
21.865902,-157.870002
21.865648,-157.869538
21.865496,-157.869261
21.865041,-157.868438
21.864888,-157.868165
21.864634,-157.86771
21.86448,-157.867437
21.863636,-157.865949
21.863533,-157.865769
21.863326,-157.865409
21.863223,-157.86523
21.862806,-157.864513
21.862702,-157.864334
21.862491,-157.863977
21.862386,-157.863799
21.861538,-157.862376
21.861432,-157.862198
21.861218,-157.861843
21.861111,-157.861666
21.86068,-157.86096
21.860571,-157.860783
21.860354,-157.860431
21.860245,-157.860255
21.859368,-157.858852
21.859258,-157.858677
21.859037,-157.858328
21.858926,-157.858153
21.858481,-157.857457
21.858369,-157.857283
21.858145,-157.856936
21.858032,-157.856763
21.857127,-157.85538
21.857013,-157.855208
21.856785,-157.854864
21.856671,-157.854692
21.856211,-157.854006
21.856096,-157.853835
21.855865,-157.853493
21.855748,-157.853323
21.854816,-157.851962
21.854658,-157.851734
21.854341,-157.851279
21.854182,-157.851052
21.853542,-157.850147
21.853381,-157.849921
21.853058,-157.849471
21.852896,-157.849246
21.851592,-157.847457
21.851428,-157.847233
21.851099,-157.846788
21.850933,-157.846567
21.850269,-157.845682
21.850102,-157.845461
21.849767,-157.845022
21.849598,-157.844802
21.849262,-157.844367
21.848967,-157.843981
21.848778,-157.843735
21.848241,-157.843039
21.84805,-157.842792
21.847747,-157.842403
21.847521,-157.842113
21.847385,-157.84194
21.847097,-157.841575
21.846267,-157.840529
21.845065,-157.839024
21.844896,-157.838814
21.844559,-157.838398
21.84439,-157.838191
21.843712,-157.837367
21.843542,-157.837161
21.843201,-157.836752
21.84303,-157.836548
21.841657,-157.834925
21.841484,-157.834722
21.841138,-157.834319
21.840965,-157.834118
21.840267,-157.833317
21.840092,-157.833117
21.839741,-157.832719
21.839565,-157.832521
21.838474,-157.831302
21.838337,-157.83115
21.838063,-157.830847
21.837925,-157.830696
21.837374,-157.830094
21.837235,-157.829943
21.836958,-157.829643
21.836819,-157.829494
21.835704,-157.828301
21.835564,-157.828153
21.835283,-157.827856
21.835143,-157.827708
21.834579,-157.827118
21.834438,-157.826971
21.834154,-157.826678
21.834012,-157.826532
21.832873,-157.825366
21.83273,-157.82522
21.832443,-157.82493
21.8323,-157.824786
21.831833,-157.824319
21.831731,-157.824206
21.829711,-157.821991
21.82946,-157.821719
21.828957,-157.821177
21.828704,-157.820908
21.827686,-157.819836
21.827431,-157.819569
21.826917,-157.819038
21.826659,-157.818774
21.825602,-157.817703
21.825464,-157.817564
21.82519,-157.817289
21.825052,-157.817152
21.8245,-157.816604
