Island,lat,lon
OU,21.892837,-157.981769
OU,21.892834,-157.981446
OU,21.892855,-157.98066
OU,21.89285,-157.980291
OU,21.892835,-157.979446
OU,21.892831,-157.979262
OU,21.892823,-157.978892
OU,21.892818,-157.978708
OU,21.892807,-157.978285
OU,21.892803,-157.978126
OU,21.892793,-157.97781
OU,21.892788,-157.977648
OU,21.892755,-157.976704
OU,21.892744,-157.976397
OU,21.892728,-157.976018
OU,21.892694,-157.975281
OU,21.892675,-157.974902
OU,21.892658,-157.974586
OU,21.892618,-157.973899
OU,21.892597,-157.973542
OU,21.892538,-157.972005
OU,21.892461,-157.970749
OU,21.892441,-157.970433
OU,21.892406,-157.969906
OU,21.892384,-157.96959
OU,21.892316,-157.968641
OU,21.892293,-157.968325
OU,21.892252,-157.967798
OU,21.892227,-157.967482
OU,21.892179,-157.966896
OU,21.892153,-157.966581
OU,21.892107,-157.966056
OU,21.892079,-157.965741
OU,21.891992,-157.964797
OU,21.891962,-157.964482
OU,21.891911,-157.963958
OU,21.89188,-157.963644
OU,21.891746,-157.962336
OU,21.89171,-157.961993
OU,21.891648,-157.96142
OU,21.89161,-157.961077
OU,21.891493,-157.960047
OU,21.891453,-157.959704
OU,21.891385,-157.959132
OU,21.891343,-157.958789
OU,21.891262,-157.958142
OU,21.891227,-157.95786
OU,21.891166,-157.95739
OU,21.891128,-157.957108
OU,21.891015,-157.956263
OU,21.890977,-157.955982
OU,21.890911,-157.955513
OU,21.890872,-157.955231
OU,21.890695,-157.954004
OU,21.890649,-157.953689
OU,21.890571,-157.953162
OU,21.890523,-157.952847
OU,21.890377,-157.951901
OU,21.890328,-157.951586
OU,21.890244,-157.951062
OU,21.890202,-157.950802
OU,21.890185,-157.950698
OU,21.890081,-157.950067
OU,21.890029,-157.949756
OU,21.889941,-157.949238
OU,21.889887,-157.948928
OU,21.889724,-157.947996
OU,21.889669,-157.947686
OU,21.889575,-157.947169
OU,21.889519,-157.946859
OU,21.889296,-157.945664
OU,21.889238,-157.945354
OU,21.889139,-157.944837
OU,21.889095,-157.944609
OU,21.889007,-157.943827
OU,21.888971,-157.943513
OU,21.888909,-157.942989
OU,21.888871,-157.942675
OU,21.888767,-157.941829
OU,21.888728,-157.941515
OU,21.888661,-157.940992
OU,21.88862,-157.940679
OU,21.888494,-157.939739
OU,21.888451,-157.939425
OU,21.888379,-157.938903
OU,21.888335,-157.93859
OU,21.888186,-157.937556
OU,21.88814,-157.937244
OU,21.888063,-157.936724
OU,21.888016,-157.936411
OU,21.887871,-157.935475
OU,21.887822,-157.935164
OU,21.88774,-157.934646
OU,21.887698,-157.934388
OU,21.887681,-157.934285
OU,21.88755,-157.93349
OU,21.887498,-157.933178
OU,21.887409,-157.932658
OU,21.887356,-157.932347
OU,21.887314,-157.932109
OU,21.887286,-157.931934
OU,21.887253,-157.931738
OU,21.8872,-157.931424
OU,21.887173,-157.931267
OU,21.887065,-157.930642
OU,21.887038,-157.930486
OU,21.886983,-157.930174
OU,21.886955,-157.930018
OU,21.88673,-157.928773
OU,21.886673,-157.928462
OU,21.886556,-157.927841
OU,21.886496,-157.927531
OU,21.886252,-157.92629
OU,21.88619,-157.92598
OU,21.886064,-157.925361
OU,21.885999,-157.925052
OU,21.885737,-157.923816
OU,21.885703,-157.923661
OU,21.885637,-157.923353
OU,21.885603,-157.923198
OU,21.885467,-157.922582
OU,21.885433,-157.922427
OU,21.885363,-157.922119
OU,21.885328,-157.921965
OU,21.884953,-157.920325
OU,21.884906,-157.92012
OU,21.88481,-157.919711
OU,21.884762,-157.919506
OU,21.884566,-157.918688
OU,21.884516,-157.918484
OU,21.884416,-157.918075
OU,21.884366,-157.917871
OU,21.883957,-157.91624
OU,21.883906,-157.916037
OU,21.883801,-157.915629
OU,21.883749,-157.915426
OU,21.883536,-157.914613
OU,21.883483,-157.91441
OU,21.883374,-157.914004
OU,21.88332,-157.913801
OU,21.882878,-157.91218
OU,21.882822,-157.911978
OU,21.88271,-157.911573
OU,21.882653,-157.911371
OU,21.882424,-157.910563
OU,21.882366,-157.910361
OU,21.88225,-157.909958
OU,21.882191,-157.909756
OU,21.881716,-157.908146
OU,21.881657,-157.907945
OU,21.881536,-157.907543
OU,21.881475,-157.907342
OU,21.88123,-157.90654
OU,21.881168,-157.906339
OU,21.881043,-157.905939
OU,21.88098,-157.905739
OU,21.880457,-157.90409
OU,21.880361,-157.903792
OU,21.880201,-157.903295
OU,21.880104,-157.902997
OU,21.879811,-157.902105
OU,21.879713,-157.90181
OU,21.879565,-157.901368
OU,21.87952,-157.901233
OU,21.879424,-157.90095
OU,21.879372,-157.900795
OU,21.879225,-157.900368
OU,21.878974,-157.899647
OU,21.878807,-157.899169
OU,21.878407,-157.898039
OU,21.878279,-157.897681
OU,21.878064,-157.897088
OU,21.877935,-157.896733
OU,21.877543,-157.895668
OU,21.877411,-157.895314
OU,21.87719,-157.894724
OU,21.877056,-157.894371
OU,21.876651,-157.893312
OU,21.876515,-157.89296
OU,21.876286,-157.892373
OU,21.876148,-157.892022
OU,21.87573,-157.890969
OU,21.875589,-157.890618
OU,21.875354,-157.890035
OU,21.875211,-157.889685
OU,21.87478,-157.888637
OU,21.874631,-157.88828
OU,21.874382,-157.887686
OU,21.874232,-157.88733
OU,21.873777,-157.886263
OU,21.873624,-157.885909
OU,21.873368,-157.885318
OU,21.873213,-157.884964
OU,21.872759,-157.883939
OU,21.872703,-157.883811
OU,21.872589,-157.883556
OU,21.872532,-157.883429
OU,21.872303,-157.88292
OU,21.872245,-157.882793
OU,21.87213,-157.882539
OU,21.872072,-157.882412
OU,21.871607,-157.881398
OU,21.871548,-157.881272
OU,21.871431,-157.881019
OU,21.871373,-157.880892
OU,21.871136,-157.880387
OU,21.871077,-157.880261
OU,21.870958,-157.880009
OU,21.870899,-157.879883
OU,21.870307,-157.878639
OU,21.870234,-157.878487
OU,21.870088,-157.878183
OU,21.870014,-157.878031
OU,21.869719,-157.877425
OU,21.869645,-157.877273
OU,21.869497,-157.87697
OU,21.869422,-157.876819
OU,21.868822,-157.875611
OU,21.868746,-157.87546
OU,21.868595,-157.875159
OU,21.868519,-157.875009
OU,21.868214,-157.874408
OU,21.868137,-157.874258
OU,21.867984,-157.873958
OU,21.867907,-157.873808
OU,21.867279,-157.872597
OU,21.867165,-157.872379
OU,21.866975,-157.872016
OU,21.86686,-157.871798
OU,21.866516,-157.871146
OU,21.866402,-157.870932
OU,21.866212,-157.870576
OU,21.866102,-157.870371
OU,21.866031,-157.87024
OU,21.865902,-157.870002
