cruise,ship,comment
990,MAC,
1080,MAC,
1165,MAC,
1268,MAC,
1370,MAC,
1426,MAC,
1467,MAC,
1508,MAC,
1600,MAC,
1601,MAC,
1602,MAC,
1604,MAC,
1606,MAC,
1607,MAC,
1610,MAC,
1614,MAC,
1616,MAC,
1618,MAC,
1619,MAC,
1620,MAC,
1622,MAC,
1623,Mc2,
1625,Mc2,
1627,Mc2,
1629,Mc2,
1631,Mc2,
1634,Mc2,
1635,Mc2,
1640,Mc2,
1641,Mc2,
1642,Mc2,
989,DSJ,
1081,DSJ,
1164,DSJ,
1267,DSJ,
1369,DSJ,
1468,DSJ,
1509,DSJ,
1603,DSJ,
1605,DSJ,
1608,DSJ,
1609,DSJ,
1612,DSJ,
1613,DSJ,
1615,DSJ,
1617,DSJ,
1621,DSJ,
1624,DSJ,
1628,DSJ,
1630,DSJ,
1637,DSJ,
1647,DSJ,
1546,SUR,Surveyor
1611,END,Endeavor
0901,Mc2,actually OES
1614,MAC,
1616,MAC,
1617,DSJ,
1621,DSJ,
1622,MAC,
1623,Mc2,
1624,DSJ,
1628,DSJ,
1629,Mc2,
1631,Mc2,
0901,OES,
1001,OES,
1004,OES,
1641,Mc2,
1642,OES,
1108,OES,
1203,OES,
1303,OES,
1604,OES,
1705,LAS,
1706,OES,
1901,OES,
2001,OES,
