Lon,Lat
-152.967956873,22.581669778
-152.979880389,22.59921571
-152.989579241,22.613297088
-152.999355656,22.627332776
-153.009209436,22.641322327
-153.019140284,22.655265478
-153.029148002,22.669161784
-153.039232391,22.683010797
-153.049393155,22.696812347
-153.059629995,22.710565989
-153.069942913,22.724271367
-153.080331413,22.737928129
-153.090795297,22.75153592
-153.101334465,22.765094294
-153.111948423,22.778603083
-153.12263717,22.792061748
-153.133400311,22.80547012
-153.144237646,22.818827662
-153.155148781,22.832134204
-153.166133714,22.845389302
-153.177191852,22.858592603
-153.188323194,22.871743845
-153.199527443,22.884842584
-153.210804204,22.897888467
-153.222153277,22.910881234
-153.233574367,22.923820531
-153.245067175,22.936706099
-153.24913671,22.941236462
-153.257072117,22.950026923
-153.268707669,22.962803744
-153.280414147,22.975525779
-153.292191253,22.988192675
-153.304038692,23.00080399
-153.309352308,23.00641801
-153.319841848,23.017576205
-153.331760609,23.030131841
-153.343749107,23.04263138
-153.355807046,23.055074471
-153.367934326,23.067460762
-153.380130353,23.079789902
-153.392395027,23.092061539
-153.404727953,23.104275506
-153.417128834,23.116431267
-153.42959747,23.128528746
-153.442133467,23.140567409
-153.454736428,23.152547087
-153.467406253,23.164467339
-153.480142447,23.176327996
-153.492944813,23.188128616
-153.505812954,23.199868939
-153.518746474,23.211548706
-153.531745274,23.223167566
-153.544808858,23.234725169
-153.557937029,23.246221256
-153.57112929,23.257655566
-153.584385445,23.26902775
-153.597705096,23.280337457
-153.611087947,23.29158452
-153.6245337,23.302768587
-153.638041959,23.313889309
-153.651612329,23.324946335
-153.66524461,23.335939589
-153.678938307,23.34686863
-153.692693223,23.357733197
-153.706508862,23.368532941
-153.720385026,23.379267787
-153.734321319,23.3899372
-153.748317245,23.400541014
-153.762372606,23.411078969
-153.776487106,23.421550716
-153.787811613,23.429873305
-153.791441624,23.432527918
-153.805673112,23.442866517
-153.81996255,23.453138131
-153.83430954,23.463342502
-153.848713886,23.473479278
-153.863174992,23.483548294
-153.877692661,23.49354929
-153.881553381,23.49619073
-153.884285226,23.49806452
-153.898859458,23.507997167
-153.91348946,23.517861187
-153.928174835,23.52765632
-153.942915288,23.537382401
-153.957710321,23.547039078
-153.97255954,23.556626185
-153.987462747,23.56614337
-154.002419345,23.575590374
-154.017429139,23.584967031
-154.032491532,23.594272991
-154.047606328,23.603508084
-154.06277313,23.612672052
-154.077991343,23.621764728
-154.093260869,23.63078567
-154.108581014,23.639734801
-154.123951678,23.648611861
-154.13937217,23.657416502
-154.15484229,23.666148645
-154.170361642,23.674808032
