Lat,Lon,comment
5.000,-77.433,Inshore stratum of MOPS surveys south part (south of 5N)
4.917,-77.4,NA
4.717,-77.367,NA
4.633,-77.367,NA
4.567,-77.317,NA
4.517,-77.317,NA
4.433,-77.317,NA
4.233,-77.4,NA
4.200,-77.4,NA
4.167,-77.433,NA
4.083,-77.433,NA
4.000,-77.433,NA
3.883,-77.433,NA
3.883,-77.4,NA
3.833,-77.367,NA
3.833,-77.367,NA
3.800,-77.283,NA
3.800,-77.167,NA
3.800,-77.083,NA
3.800,-77.083,NA
3.883,-77,NA
3.883,-77,NA
3.917,-76.917,NA
3.883,-76.917,NA
3.800,-76.917,NA
3.767,-76.967,NA
3.683,-77,NA
3.567,-77.117,NA
3.567,-77.167,NA
3.517,-77.2,NA
3.483,-77.233,NA
3.400,-77.283,NA
3.283,-77.4,NA
3.233,-77.433,NA
3.200,-77.483,NA
3.167,-77.483,NA
3.083,-77.517,NA
2.833,-77.6,NA
2.767,-77.633,NA
2.683,-77.683,NA
2.683,-77.683,NA
2.633,-77.717,NA
2.600,-77.833,NA
2.600,-77.917,NA
2.567,-78,NA
2.567,-78,NA
2.567,-78.033,NA
2.600,-78.167,NA
2.600,-78.2,NA
2.600,-78.233,NA
2.567,-78.283,NA
2.567,-78.317,NA
2.433,-78.483,NA
2.400,-78.517,NA
2.317,-78.567,NA
2.233,-78.6,NA
2.200,-78.6,NA
2.033,-78.633,NA
2.000,-78.6,NA
1.967,-78.6,NA
1.883,-78.6,NA
1.883,-78.6,NA
1.800,-78.6,NA
1.800,-78.633,NA
1.800,-78.633,NA
1.800,-78.683,NA
1.800,-78.717,NA
1.767,-78.833,NA
1.717,-78.883,NA
1.683,-78.883,NA
1.683,-78.917,NA
1.633,-78.917,NA
1.567,-78.967,NA
1.517,-78.967,NA
1.483,-78.967,NA
1.483,-78.967,NA
1.433,-78.967,NA
1.367,-78.883,NA
1.367,-78.883,NA
1.367,-78.883,NA
1.317,-78.833,NA
1.283,-78.833,NA
1.283,-78.833,NA
1.283,-78.883,NA
1.233,-78.883,NA
1.167,-78.967,NA
1.167,-79,NA
1.167,-79,NA
1.117,-79.033,NA
1.117,-79.083,NA
1.083,-79.2,NA
1.083,-79.233,NA
1.033,-79.283,NA
1.000,-79.367,NA
1.000,-79.4,NA
0.883,-79.483,NA
0.833,-79.567,NA
0.800,-79.6,NA
0.800,-79.6,NA
0.800,-79.633,NA
0.800,-79.8,NA
0.800,-79.833,NA
0.800,-79.883,NA
0.800,-79.917,NA
0.800,-80,NA
0.683,-80.083,NA
0.600,-80.083,NA
0.517,-80.083,NA
0.400,-80.083,NA
0.367,-80.083,NA
0.167,-80.033,NA
0.083,-80.033,NA
0.000,-80.083,NA
-0.083,-80.167,NA
-0.233,-80.283,NA
-0.283,-80.317,NA
-0.367,-80.367,NA
-0.400,-80.367,NA
-0.433,-80.4,NA
-0.633,-80.4,NA
-0.717,-80.4,NA
-0.717,-80.4,NA
-0.800,-80.433,NA
-0.800,-80.483,NA
-0.883,-80.517,NA
-0.917,-80.6,NA
-0.917,-80.6,NA
-0.917,-80.683,NA
-0.967,-80.683,NA
-1.000,-80.767,NA
-1.000,-80.8,NA
-1.083,-80.8,NA
-1.117,-80.8,NA
-1.167,-80.8,NA
-1.283,-80.8,NA
-1.367,-80.8,NA
-1.400,-80.8,NA
-1.433,-80.8,NA
-1.517,-80.8,NA
-1.683,-80.833,NA
-1.800,-80.833,NA
-1.833,-80.833,NA
-1.917,-80.8,NA
-2.000,-80.8,NA
-2.200,-80.8,NA
-2.283,-80.8,NA
-2.317,-80.8,NA
-2.317,-80.8,NA
-2.367,-80.767,NA
-2.433,-80.633,NA
-2.483,-80.6,NA
-2.483,-80.517,NA
-2.483,-80.483,NA
-2.517,-80.483,NA
-2.600,-80.4,NA
-2.600,-80.4,NA
-2.633,-80.317,NA
-2.633,-80.283,NA
-2.633,-80.283,NA
-2.517,-80.167,NA
-2.483,-80.117,NA
-2.400,-80.083,NA
-2.317,-80.033,NA
-2.283,-80,NA
-2.200,-79.917,NA
-2.200,-79.883,NA
-2.200,-79.883,NA
-2.317,-79.883,NA
-2.367,-79.883,NA
-2.400,-79.883,NA
-2.400,-79.883,NA
-2.433,-79.883,NA
-2.483,-79.8,NA
-2.517,-79.8,NA
-2.600,-79.767,NA
-2.683,-79.8,NA
-2.717,-79.8,NA
-2.883,-79.8,NA
-2.967,-79.833,NA
-3.033,-79.833,NA
-3.083,-79.833,NA
-3.117,-79.883,NA
-3.283,-80,NA
-3.283,-80.033,NA
-3.317,-80.083,NA
-3.317,-80.117,NA
-3.367,-80.167,NA
-3.400,-80.2,NA
-3.400,-80.233,NA
-3.400,-80.233,NA
-3.400,-80.283,NA
-3.400,-80.283,NA
-3.433,-80.317,NA
-3.483,-80.367,NA
-3.483,-80.367,NA
-3.483,-80.367,NA
-3.483,-80.4,NA
-3.517,-80.433,NA
-3.567,-80.483,NA
-3.600,-80.483,NA
-3.600,-80.517,NA
-3.683,-80.633,NA
-1.00,-90.00,NA
-1.00,-91.50,NA
1.00,-92.00,NA
5.00,-102.67,NA
5.000,-77.433,NA
