Lat,Lon,comment
-3.683,-80.633,MOPS southern stratum starting at coast going south
-4.633,-81.233,NA
-4.833,-81.233,NA
-4.883,-81.2,NA
-4.917,-81.2,NA
-5.000,-81.167,NA
-5.033,-81.117,NA
-5.200,-81.083,NA
-5.233,-81.083,NA
-5.283,-81.083,NA
-5.283,-81.083,NA
-5.367,-81.033,NA
-5.433,-80.917,NA
-5.483,-80.883,NA
-5.517,-80.883,NA
-5.567,-80.833,NA
-5.600,-80.833,NA
-5.717,-80.883,NA
-5.767,-80.917,NA
-5.800,-81,NA
-5.883,-81.033,NA
-5.883,-81.083,NA
-6.000,-81.033,NA
-6.033,-81,NA
-6.033,-80.917,NA
-6.083,-80.883,NA
-6.083,-80.883,NA
-6.167,-80.767,NA
-6.200,-80.717,NA
-6.233,-80.683,NA
-6.283,-80.6,NA
-6.317,-80.567,NA
-6.433,-80.433,NA
-6.483,-80.367,NA
-6.517,-80.283,NA
-6.567,-80.233,NA
-6.600,-80.2,NA
-6.767,-80,NA
-6.800,-79.967,NA
-6.883,-79.883,NA
-6.917,-79.883,NA
-7.000,-79.8,NA
-7.000,-79.767,NA
-7.083,-79.767,NA
-7.083,-79.683,NA
-7.167,-79.683,NA
-7.200,-79.633,NA
-7.483,-79.567,NA
-7.517,-79.517,NA
-7.600,-79.483,NA
-7.683,-79.483,NA
-7.800,-79.4,NA
-8.000,-79.2,NA
-8.083,-79.083,NA
-8.200,-79,NA
-8.233,-78.917,NA
-8.317,-78.833,NA
-8.600,-78.767,NA
-8.767,-78.717,NA
-8.800,-78.717,NA
-8.917,-78.683,NA
-9.000,-78.633,NA
-9.233,-78.483,NA
-9.317,-78.433,NA
-9.400,-78.4,NA
-9.517,-78.367,NA
-9.600,-78.367,NA
-9.883,-78.233,NA
-10.000,-78.2,NA
-10.083,-78.2,NA
-10.167,-78.117,NA
-10.200,-78.083,NA
-10.400,-77.967,NA
-10.517,-77.883,NA
-10.600,-77.833,NA
-10.717,-77.8,NA
-10.800,-77.8,NA
-11.033,-77.767,NA
-11.167,-77.767,NA
-11.283,-77.717,NA
-11.367,-77.683,NA
-11.433,-77.633,NA
-11.517,-77.567,NA
-11.567,-77.483,NA
-11.600,-77.433,NA
-11.633,-77.4,NA
-11.717,-77.317,NA
-11.967,-77.2,NA
-12.00,-81.00,NA
-14.00,-85.00,NA
-5.00,-115.00,NA
-4.00,-130.00,NA
-3.00,-135.00,NA
-1.00,-137.00,NA
-1.00,-90.00,NA
-3.683,-80.633,NA
