Lat,Lon,comment
25.000000,-112.8647460,Polygon to define core area for STAR surveys
24.988191,-112.8654495,(excludes coastal strip)
24.957973,-112.8641635,NA
24.783464,-112.8423228,NA
24.685651,-112.8288236,NA
24.678893,-112.8241311,NA
24.619848,-112.7775933,NA
24.503767,-112.6752248,NA
24.412733,-112.5915397,NA
24.397553,-112.5832977,NA
24.382373,-112.5797637,NA
24.378918,-112.5795097,NA
24.373762,-112.5832977,NA
24.352006,-112.6001743,NA
24.331490,-112.6275071,NA
24.173521,-112.5167007,NA
24.078365,-112.3987725,NA
24.043517,-112.3652908,NA
24.042947,-112.3657074,NA
24.007999,-112.3733139,NA
23.973041,-112.3657074,NA
23.943397,-112.3440323,NA
23.923587,-112.3115921,NA
23.918113,-112.2912750,NA
23.909060,-112.2369874,NA
23.743112,-112.0821086,NA
23.685542,-112.0167007,NA
23.598428,-111.9079780,NA
23.451765,-111.7345701,NA
23.437595,-111.7227048,NA
23.428607,-111.7166977,NA
23.389684,-111.6977886,NA
23.343525,-111.6808151,NA
23.360014,-111.6654598,NA
23.356120,-111.6500015,NA
23.307082,-111.4588215,NA
23.302948,-111.4499969,NA
23.284578,-111.4167023,NA
23.269599,-111.3996385,NA
23.258076,-111.3833008,NA
23.251082,-111.3499985,NA
23.284578,-111.2782710,NA
23.320942,-111.0832977,NA
23.326947,-111.0167007,NA
23.217809,-110.8893107,NA
23.210155,-110.8833008,NA
23.192684,-110.8786680,NA
23.187897,-110.8833008,NA
23.180771,-110.9037250,NA
23.136083,-110.8884358,NA
23.070045,-110.8595451,NA
23.070045,-110.8267822,NA
23.109260,-110.7592862,NA
23.134789,-110.7166977,NA
23.145257,-110.6333677,NA
23.031625,-110.6523285,NA
23.017665,-110.6534805,NA
22.982444,-110.6458740,NA
22.952577,-110.6241989,NA
22.932617,-110.5917587,NA
22.932525,-110.5912552,NA
22.930784,-110.5884247,NA
22.923774,-110.5501633,NA
22.926961,-110.5240860,NA
22.937915,-110.4800568,NA
22.933118,-110.4722595,NA
22.926109,-110.4339981,NA
22.929437,-110.4073563,NA
22.944347,-110.3487860,NA
22.916606,-110.3558489,NA
22.899147,-110.3643743,NA
22.867086,-110.3962595,NA
22.855169,-110.4142220,NA
22.853950,-110.4153768,NA
22.824445,-110.4134618,NA
22.793716,-110.3917033,NA
22.784344,-110.3833008,NA
22.780305,-110.3167038,NA
22.784864,-110.2500000,NA
22.806398,-110.2304415,NA
22.846861,-110.2257034,NA
22.846058,-110.1454272,NA
22.806060,-110.0988083,NA
22.798137,-110.0854340,NA
22.797554,-110.0850296,NA
22.797386,-110.0848618,NA
22.774686,-110.0495911,NA
22.774141,-110.0466309,NA
22.774017,-110.0464249,NA
22.770652,-110.0360336,NA
22.705953,-109.7943192,NA
22.687618,-109.7810364,NA
22.667619,-109.7485962,NA
22.665044,-109.7410126,NA
22.633449,-109.6348038,NA
22.627260,-109.6247635,NA
22.624239,-109.6156311,NA
22.614399,-109.5806274,NA
22.610395,-109.5514984,NA
22.611232,-109.5469417,NA
21.523200,-107.6392101,NA
21.263896,-107.1845527,NA
20.572825,-105.9728433,NA
20.553333,-105.9769821,NA
20.517501,-105.9693756,NA
20.493934,-105.9542923,NA
20.360883,-105.8377914,NA
20.354061,-105.8311996,NA
20.342105,-105.8121160,NA
20.188316,-105.8183157,NA
20.125726,-105.8103771,NA
19.966358,-105.7529617,NA
19.874487,-105.7173579,NA
19.826550,-105.7016206,NA
19.812395,-105.6991888,NA
19.781028,-105.6948318,NA
19.757674,-105.7081618,NA
19.749656,-105.7075520,NA
19.723880,-105.6892608,NA
19.551577,-105.5602852,NA
19.570761,-105.5167007,NA
19.568477,-105.4909538,NA
19.566360,-105.4832993,NA
19.561279,-105.4699783,NA
19.553242,-105.4499969,NA
19.492071,-105.3234527,NA
19.467054,-105.2832593,NA
19.401371,-105.2166977,NA
19.354362,-105.1832962,NA
19.278308,-105.1735591,NA
19.256455,-105.1731228,NA
19.246839,-105.1695621,NA
19.152378,-105.1179911,NA
19.136571,-105.1000617,NA
19.025598,-104.9536481,NA
19.008167,-104.9573135,NA
18.971986,-104.9497070,NA
18.941917,-104.9286728,NA
18.898733,-104.8838425,NA
18.890337,-104.8706894,NA
18.887888,-104.8689499,NA
18.794517,-104.7691116,NA
18.792333,-104.7656326,NA
18.788398,-104.7628479,NA
18.724039,-104.6945114,NA
18.717819,-104.6846542,NA
18.711044,-104.6797943,NA
18.680866,-104.6469574,NA
18.678470,-104.6431122,NA
18.557713,-104.5101403,NA
18.518392,-104.4668427,NA
18.499254,-104.4359283,NA
18.496244,-104.4199751,NA
17.913118,-103.4753102,NA
17.909404,-103.4727020,NA
17.888778,-103.4402618,NA
17.884608,-103.4264378,NA
17.883853,-103.4239349,NA
17.877683,-103.3951035,NA
17.877637,-103.3946533,NA
17.877157,-103.3930817,NA
17.844974,-103.2472534,NA
17.844539,-103.2432709,NA
17.837753,-103.2325974,NA
17.832704,-103.2156906,NA
17.828481,-103.1953964,NA
17.814689,-103.1357727,NA
17.814123,-103.1307983,NA
17.737617,-103.0180130,NA
17.727199,-102.9982605,NA
17.726625,-102.9952393,NA
17.721515,-102.9878693,NA
17.720333,-102.9870377,NA
17.710666,-102.9751663,NA
17.674441,-102.9229118,NA
17.668148,-102.9138336,NA
17.657165,-102.8932648,NA
17.657016,-102.8924866,NA
17.656663,-102.8919296,NA
17.652696,-102.8796997,NA
17.646757,-102.8565868,NA
17.637022,-102.8186951,NA
17.633737,-102.7926636,NA
17.634538,-102.7884369,NA
17.627317,-102.7770920,NA
17.624677,-102.7695694,NA
17.610002,-102.7219086,NA
17.609943,-102.7215118,NA
17.592800,-102.6945953,NA
17.589725,-102.6854782,NA
17.588617,-102.6847000,NA
17.569305,-102.6555176,NA
17.560590,-102.6354980,NA
17.546867,-102.6139526,NA
17.545686,-102.6137085,NA
17.545256,-102.6134073,NA
17.514755,-102.5920334,NA
17.494085,-102.5595932,NA
17.490133,-102.5474319,NA
17.485961,-102.5312653,NA
17.485158,-102.5249176,NA
17.448030,-102.4011688,NA
17.447567,-102.3980026,NA
17.445226,-102.3912659,NA
17.435388,-102.3585968,NA
17.434827,-102.3547821,NA
17.433221,-102.3522644,NA
17.429727,-102.3418198,NA
17.428489,-102.3373413,NA
17.419721,-102.3311996,NA
17.399040,-102.2987595,NA
17.396274,-102.2908325,NA
17.357857,-102.1644286,NA
17.286291,-101.9929699,NA
16.795892,-100.7914912,NA
16.770338,-100.7743988,NA
16.647632,-100.6558990,NA
16.624704,-100.6215515,NA
16.469244,-100.4694214,NA
16.446258,-100.4347610,NA
16.438959,-100.3964996,NA
16.446270,-100.3582153,NA
16.426136,-100.3540421,NA
16.395019,-100.3323669,NA
16.374223,-100.2999268,NA
16.366922,-100.2616653,NA
16.374223,-100.2234039,NA
16.381914,-100.2089615,NA
16.382560,-100.2055740,NA
16.391502,-100.1881638,NA
16.580623,-99.8938897,NA
16.518602,-99.6980605,NA
16.522663,-99.6830824,NA
16.521057,-99.6758041,NA
16.492507,-99.6033325,NA
16.491922,-99.6002350,NA
16.490251,-99.5974960,NA
16.486415,-99.5864944,NA
16.482231,-99.5617218,NA
16.472518,-99.5480881,NA
16.448175,-99.5007553,NA
16.444089,-99.4917603,NA
16.439842,-99.4694977,NA
16.436752,-99.4625931,NA
16.436504,-99.4612961,NA
16.435106,-99.4592667,NA
16.392614,-99.3699646,NA
16.380514,-99.3615341,NA
16.363840,-99.3381577,NA
16.349834,-99.3109894,NA
16.345712,-99.3019257,NA
16.338409,-99.2636642,NA
16.345712,-99.2254028,NA
16.366508,-99.1929626,NA
16.397630,-99.1712875,NA
16.419047,-99.1668489,NA
16.408436,-99.1315333,NA
16.337779,-98.9718362,NA
16.230732,-98.8661556,NA
16.104050,-98.7833405,NA
16.102645,-98.7809590,NA
16.073457,-98.7196266,NA
16.008361,-98.5481039,NA
16.006536,-98.5312490,NA
16.005946,-98.5166626,NA
16.007125,-98.4166718,NA
16.008343,-98.3481336,NA
15.991956,-98.3200908,NA
15.968622,-98.2808380,NA
15.968143,-98.2793398,NA
15.914606,-98.1877196,NA
15.908710,-98.1850651,NA
15.906474,-98.1833267,NA
15.894124,-98.1500015,NA
15.877295,-98.0799186,NA
15.857988,-98.0247421,NA
15.852172,-97.9905014,NA
15.852884,-97.9867859,NA
15.848715,-97.9815445,NA
15.847767,-97.9799042,NA
15.841193,-97.9785461,NA
15.807291,-97.9539566,NA
15.805957,-97.9524536,NA
15.787796,-97.9229279,NA
15.784370,-97.9050369,NA
15.749383,-97.8681870,NA
15.720121,-97.8478699,NA
15.711045,-97.8337555,NA
15.707972,-97.8316269,NA
15.705167,-97.8310471,NA
15.673938,-97.8093719,NA
15.653069,-97.7769318,NA
15.648545,-97.7626266,NA
15.606358,-97.5851212,NA
15.603553,-97.5611649,NA
15.606647,-97.5450134,NA
15.594043,-97.5254288,NA
15.589687,-97.5118256,NA
15.583518,-97.4866562,NA
15.580543,-97.4619980,NA
15.584407,-97.4418259,NA
15.555277,-97.3043137,NA
15.554996,-97.3016205,NA
15.550065,-97.2982025,NA
15.529182,-97.2657623,NA
15.524115,-97.2490616,NA
15.523707,-97.2471390,NA
15.520802,-97.2465439,NA
15.489544,-97.2248688,NA
15.468656,-97.1924286,NA
15.462718,-97.1711273,NA
15.457215,-97.1379623,NA
15.457016,-97.1355515,NA
15.456791,-97.1347580,NA
15.455315,-97.1260986,NA
15.445364,-97.1192017,NA
15.424470,-97.0867615,NA
15.418946,-97.0677948,NA
15.417228,-97.0587387,NA
15.414951,-97.0514603,NA
15.413950,-97.0471268,NA
15.413887,-97.0465698,NA
15.413696,-97.0459671,NA
15.411194,-97.0353012,NA
15.408462,-97.0116653,NA
15.408564,-97.0111389,NA
15.402895,-96.9883118,NA
15.402352,-96.9833069,NA
15.388705,-96.9062271,NA
15.387119,-96.8881683,NA
15.387931,-96.8839363,NA
15.388444,-96.8812599,NA
15.394457,-96.8499069,NA
15.408758,-96.8277051,NA
15.574415,-96.3909728,NA
15.573871,-96.3833389,NA
15.602794,-96.2304492,NA
15.639727,-96.0312071,NA
15.627942,-95.8434580,NA
15.589522,-95.6543215,NA
15.578486,-95.3281308,NA
15.582784,-95.3166733,NA
15.589522,-95.3033161,NA
15.468584,-94.9499969,NA
15.466311,-94.9445201,NA
15.461029,-94.9327497,NA
15.453277,-94.9247107,NA
15.444197,-94.9166718,NA
15.389578,-94.8833389,NA
15.353387,-94.8616536,NA
15.300316,-94.8221882,NA
15.297367,-94.8197295,NA
15.114438,-94.5833435,NA
15.107286,-94.5722300,NA
15.095291,-94.5500031,NA
15.082367,-94.5241970,NA
15.064102,-94.4833374,NA
15.056483,-94.4640562,NA
15.052456,-94.4499969,NA
14.857400,-94.1419770,NA
14.787169,-94.0500031,NA
14.785188,-94.0468958,NA
14.768566,-94.0166702,NA
14.762584,-93.9833374,NA
14.719070,-93.8833389,NA
14.656206,-93.8217522,NA
14.535497,-93.6833267,NA
14.290859,-93.2500000,NA
14.272089,-93.2166672,NA
