Lon,Lat
-155.6823,17.2382
-155.7826,17.2410
-155.9783,17.2624
-156.1013,17.2870
-156.2423,17.3264
-156.3391,17.3606
-156.4278,17.3977
-156.5189,17.4418
-156.6393,17.5103
-156.8319,17.6296
-161.2045,20.3875
-161.3065,20.4545
-161.3842,20.5125
-161.4663,20.5816
-161.5352,20.6466
-161.6144,20.7309
-161.6782,20.8081
-161.7629,20.9255
-161.6556,21.2285
-160.8319,23.4461
-160.7947,23.5475
-160.3369,23.7439
-160.1859,23.8009
-160.092,23.8291
-159.9815,23.8559
-159.884,23.8739
-159.6931,23.8954
-159.5891,23.9008
-159.4525,23.9059
-159.3451,23.9056
-159.2387,23.8994
-159.0573,23.8758
-158.9385,23.8504
-158.8048,23.8125
-158.6886,23.7727
-157.3019,23.2652
-157.2088,23.2280
-155.9724,22.6848
-155.4229,22.4232
-155.265,22.3380
-155.0344,22.1985
-154.9486,22.1431
-154.8691,22.0854
-154.7888,22.0196
-154.6901,21.9265
-153.8278,21.0393
-153.7056,20.9037
-153.4159,20.5503
-153.319,20.4188
-153.2704,20.3412
-153.2251,20.2592
-153.1834,20.1722
-153.1454,20.0789
-153.0989,19.9315
-153.0767,19.8353
-153.0608,19.7392
-153.0505,19.6376
-153.0465,19.5325
-153.0524,19.3896
-153.0754,19.2231
-153.0953,19.1340
-153.1388,18.9906
-153.1707,18.9046
-153.2062,18.8207
-153.2702,18.6948
-153.324,18.6057
-153.4306,18.4587
-153.4939,18.3849
-153.5581,18.3169
-153.6374,18.2418
-153.7561,18.1409
-153.8615,18.0589
-153.936,18.0034
-154.0136,17.9518
-154.693,17.5260
-154.8553,17.4345
-154.9643,17.3839
-155.0517,17.3495
-155.1404,17.3197
-155.2699,17.2849
-155.3794,17.2631
-155.4938,17.2478
-155.6823,17.2382
