Lon,Lat
-152.0678,21.6494
-151.321,20.0672
-151.5154,18.3458
-152.3182,17.1377
-153.6716,16.1731
-155.3492,15.5815
-157.1184,15.8624
-158.5686,16.8922
-159.334,18.1606
-161.1181,18.3522
-162.7603,19.0420
-163.9573,20.3010
-165.659,20.3077
-167.4726,20.5189
-169.0471,21.6207
-170.5755,22.1527
-172.4277,22.4717
-174.2939,22.7103
-176.1649,23.3405
-176.6005,23.6777
-177.3916,24.6676
-179.0703,25.1099
-180.0405,25.4045
-180.8909,25.9253
-181.5583,26.6345
-181.9616,27.3957
-182.1565,28.3093
-182.0883,29.1329
-181.7371,30.0104
-181.2176,30.6736
-180.5252,31.2063
-179.6741,31.5901
-177.6818,31.7508
-175.7166,31.2953
-173.7906,30.8142
-172.3679,29.4503
-170.6732,28.9910
-168.8068,28.4098
-166.8958,28.1953
-165.178,27.1689
-163.4617,26.7268
-161.703,26.4006
-159.9046,25.8525
-158.1168,25.3658
-156.481,24.7619
-154.9488,24.0792
-153.5142,23.2031
-152.3627,22.0140
-152.0678,21.6494
